protected_preview_packet_item_id	protected_preview_candidate_id	draft_item_id	ref	approved_family	hebrew_token	hebrew_phrase	prompt	answer_choices	expected_answer	correct_answer	explanation	source_evidence_note	caution_note	internal_packet_status	internal_preview_review_status	reviewed_bank_allowed	runtime_allowed	student_facing_allowed	post_preview_review_status	yossi_internal_preview_decision	yossi_internal_preview_notes
intpp_b1_001	ppcand_b1_001	cdraft_b1_001	Bereishis 1:6	vocabulary_meaning	רקיע	יְהִי רָקִיעַ	In this phrase, what does רקיע mean?	expanse / firmament|fruit|night|bird	expanse / firmament	expanse / firmament	"Teacher-review draft: רקיע is used here with the basic meaning ""expanse"" or ""firmament,"" depending on class vocabulary."	Built from approved row-level vocabulary candidate; answer key still requires Yossi review.	No special caution beyond required review gates. Teacher-review-only controlled draft; not protected-preview approved. Protected-preview planning-gate review only; not protected-preview approved. Protected-preview candidate review only; not protected-preview release approved.	internal_protected_preview_packet_only	needs_internal_review	false	false	false	not_started		
intpp_b1_002	ppcand_b1_002	cdraft_b1_002	Bereishis 1:11	vocabulary_meaning	דשא	תַּדְשֵׁא הָאָרֶץ דֶּשֶׁא	In this phrase, what does דשא mean?	grass|fruit|bird|night	grass	grass	Teacher-review draft: דשא is used here with the basic meaning 'grass'.	Built from approved row-level vocabulary candidate; answer key still requires Yossi review.	No special caution beyond required review gates. Teacher-review-only controlled draft; not protected-preview approved. Protected-preview planning-gate review only; not protected-preview approved. Protected-preview candidate review only; not protected-preview release approved.	internal_protected_preview_packet_only	needs_internal_review	false	false	false	not_started		
intpp_b1_003	ppcand_b1_003	cdraft_b1_003	Bereishis 1:11	vocabulary_meaning	פרי	עֵץ פְּרִי עֹשֶׂה פְּרִי	In this phrase, what does פרי mean?	fruit|grass|lights|animal	fruit	fruit	Teacher-review draft: פרי is used here with the basic meaning 'fruit'.	Built from approved row-level vocabulary candidate; answer key still requires Yossi review.	No special caution beyond required review gates. Teacher-review-only controlled draft; not protected-preview approved. Protected-preview planning-gate review only; not protected-preview approved. Protected-preview candidate review only; not protected-preview release approved.	internal_protected_preview_packet_only	needs_internal_review	false	false	false	not_started		
intpp_b1_004	ppcand_b1_004	cdraft_b1_004	Bereishis 1:14	vocabulary_meaning	מאורות	יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם	In this phrase, what does מאורות mean?	lights / luminaries|night|seed|bird	lights / luminaries	lights / luminaries	Teacher-review draft: מאורות means lights/luminaries in this phrase.	Built from approved row-level vocabulary candidate; answer key still requires Yossi review.	No special caution beyond required review gates. Teacher-review-only controlled draft; not protected-preview approved. Protected-preview planning-gate review only; not protected-preview approved. Protected-preview candidate review only; not protected-preview release approved.	internal_protected_preview_packet_only	needs_internal_review	false	false	false	not_started		
intpp_b1_005	ppcand_b1_005	cdraft_b1_005	Bereishis 1:14	vocabulary_meaning	לילה	לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה	In this phrase, what does לילה mean?	night|day|fruit|grass	night	night	Teacher-review draft: לילה is used here with the basic meaning 'night'.	Built from approved row-level vocabulary candidate; answer key still requires Yossi review.	No special caution beyond required review gates. Teacher-review-only controlled draft; not protected-preview approved. Protected-preview planning-gate review only; not protected-preview approved. Protected-preview candidate review only; not protected-preview release approved.	internal_protected_preview_packet_only	needs_internal_review	false	false	false	not_started		
intpp_b1_006	ppcand_b1_006	cdraft_b1_006	Bereishis 1:20	vocabulary_meaning	שרץ	שֶׁרֶץ נֶפֶשׁ חַיָּה	In this phrase, what does שרץ mean?	swarming creature / creeping creature|fruit|light|land	swarming creature / creeping creature	swarming creature / creeping creature	"Teacher-review draft: שרץ is used here with the basic meaning ""swarming creature"" or ""creeping creature,"" depending on class vocabulary."	Built from approved row-level vocabulary candidate; answer key still requires Yossi review.	No special caution beyond required review gates. Teacher-review-only controlled draft; not protected-preview approved. Protected-preview planning-gate review only; not protected-preview approved. Protected-preview candidate review only; not protected-preview release approved.	internal_protected_preview_packet_only	needs_internal_review	false	false	false	not_started		
intpp_b1_007	ppcand_b1_007	cdraft_b1_007	Bereishis 1:20	vocabulary_meaning	עוף	וְעוֹף יְעוֹפֵף עַל הָאָרֶץ	In this phrase, what does עוף mean?	bird|animal|fruit|night	bird	bird	Teacher-review draft: עוף is used here with the basic meaning 'bird'.	Built from approved row-level vocabulary candidate; answer key still requires Yossi review.	No special caution beyond required review gates. Teacher-review-only controlled draft; not protected-preview approved. Protected-preview planning-gate review only; not protected-preview approved. Protected-preview candidate review only; not protected-preview release approved.	internal_protected_preview_packet_only	needs_internal_review	false	false	false	not_started		
intpp_b1_008	ppcand_b1_008	cdraft_b1_008	Bereishis 1:24	vocabulary_meaning	בהמה	בְּהֵמָה וָרֶמֶשׂ וְחַיְתוֹ אֶרֶץ לְמִינָהּ	In this phrase, what does בהמה mean?	animal / beast / domesticated animal|bird|grass|seed	animal / beast / domesticated animal	animal / beast / domesticated animal	"Teacher-review draft: בהמה is used here with the basic meaning ""animal"" or ""beast""; teacher review should confirm whether to teach this as domesticated animal in contrast to חיה."	Built from approved row-level vocabulary candidate; answer key still requires Yossi review.	No special caution beyond required review gates. Teacher-review-only controlled draft; not protected-preview approved. Protected-preview planning-gate review only; not protected-preview approved. Protected-preview candidate review only; not protected-preview release approved.	internal_protected_preview_packet_only	needs_internal_review	false	false	false	not_started		
intpp_b1_009	ppcand_b1_009	cdraft_b1_009	Bereishis 1:31	vocabulary_meaning	טוב	וְהִנֵּה טוֹב מְאֹד	In this phrase, what does טוב mean?	good|night|fruit|bird	good	good	Teacher-review draft: טוב is used here with the basic meaning 'good'.	Built from approved row-level vocabulary candidate; answer key still requires Yossi review.	No special caution beyond required review gates. Teacher-review-only controlled draft; not protected-preview approved. Protected-preview planning-gate review only; not protected-preview approved. Protected-preview candidate review only; not protected-preview release approved.	internal_protected_preview_packet_only	needs_internal_review	false	false	false	not_started		
intpp_b1_010	ppcand_b1_010	cdraft_b1_010	Bereishis 1:1	basic_noun_recognition	ארץ	את השמים ואת הארץ	What type of word is ארץ?	noun|action word|describing word|prefix	noun	noun	Teacher-review draft: ארץ is treated as a simple noun/object/person/place/thing-level recognition item.	Built from approved row-level basic noun recognition candidate; no advanced grammar label is approved.	No special caution beyond required review gates. Future exact wording must stay simple: noun/object/person/place/thing only; no advanced grammar labels or construct/suffix/adjective/advanced part-of-speech claims. Teacher-review-only controlled draft; not protected-preview approved. Protected-preview planning-gate review only; not protected-preview approved. Protected-preview candidate review only; not protected-preview release approved.	internal_protected_preview_packet_only	needs_internal_review	false	false	false	not_started		
