candidate_id,ref,hebrew_phrase,hebrew_token,proposed_values,evidence_source_id,evidence_note,confidence,current_status,what_to_check,recommended_default_decision,yossi_decision,yossi_notes,safety_warning
morph_b1_14_r002_t001,Bereishis 1:14,יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם,יהי,shoresh=היה; prefixes=; suffixes=; tense=future/jussive; person=; gender=; number=singular; part_of_speech=verb; dikduk_feature=future/jussive candidate; canonical_skill_id=,data/word_bank.json:יהי; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07,"Local evidence makes יהי useful for review, but exact future/jussive force needs Yossi review.",low,needs_follow_up,Confirm whether the token-level morphology proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_14_r003_t001,Bereishis 1:14,לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה,להבדיל,shoresh=בדל; prefixes=ל; suffixes=; tense=infinitive; person=; gender=; number=; part_of_speech=verb; dikduk_feature=prefix ל plus separation verb candidate; canonical_skill_id=,data/word_bank.json:להבדיל; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.06; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07,Word-bank evidence supports a בדל separation candidate with prefixed ל; exact morphology remains review-only.,medium,pending_yossi_enrichment_review,Confirm whether the token-level morphology proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_14_r004_t001,Bereishis 1:14,וְהָיוּ לְאֹתֹת,והיו,shoresh=היה; prefixes=ו; suffixes=; tense=future; person=; gender=; number=plural; part_of_speech=verb; dikduk_feature=vav plus plural being-form candidate; canonical_skill_id=,data/word_bank.json:והיו; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07,והיו is useful but exact tense/function needs stronger review evidence.,low,needs_follow_up,Confirm whether the token-level morphology proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_15_r007_t001,Bereishis 1:15,וְהָיוּ לִמְאוֹרֹת בִּרְקִיעַ הַשָּׁמַיִם,והיו,shoresh=היה; prefixes=ו; suffixes=; tense=future; person=; gender=; number=plural; part_of_speech=verb; dikduk_feature=vav plus plural being-form candidate; canonical_skill_id=,data/word_bank.json:והיו; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07,Second והיו instance remains review-only because the local evidence does not settle exact form.,low,needs_follow_up,Confirm whether the token-level morphology proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_15_r008_t001,Bereishis 1:15,לְהָאִיר עַל הָאָרֶץ,להאיר,shoresh=אור; prefixes=ל; suffixes=; tense=infinitive; person=; gender=; number=; part_of_speech=verb; dikduk_feature=prefix ל plus light/shine verb candidate; canonical_skill_id=,data/word_bank.json:להאיר; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.06; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07,להאיר has local word-bank support; exact verb-feature framing remains review-only.,medium,pending_yossi_enrichment_review,Confirm whether the token-level morphology proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_15_r009_t001,Bereishis 1:15,וַיְהִי כֵן,ויהי,shoresh=היה; prefixes=ו; suffixes=; tense=past/future narrative; person=; gender=; number=singular; part_of_speech=verb; dikduk_feature=vav narrative being-form candidate; canonical_skill_id=,data/word_bank.json:ויהי; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07,"ויהי is locally attested, but exact verb-form lane needs review.",low,needs_follow_up,Confirm whether the token-level morphology proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_16_r010_t001,Bereishis 1:16,וַיַּעַשׂ אֱלֹקִים,ויעש,shoresh=עשה; prefixes=ו; suffixes=; tense=past; person=3; gender=masculine; number=singular; part_of_speech=verb; dikduk_feature=vav-hahipuch / past-style verb candidate; canonical_skill_id=,data/word_bank.json:ויעש; data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md:line14,ויעש has word-bank support and עשה appears in local seed evidence; vav-hahipuch details still need review.,medium,pending_yossi_enrichment_review,Confirm whether the token-level morphology proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_17_r015_t001,Bereishis 1:17,וַיִּתֵּן אֹתָם אֱלֹקִים,ויתן,shoresh=נתן; prefixes=ו; suffixes=; tense=past; person=3; gender=masculine; number=singular; part_of_speech=verb; dikduk_feature=vav-hahipuch / past-style verb candidate; canonical_skill_id=,data/word_bank.json:ויתן; data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md:line14,"ויתן links to נתן evidence locally, but exact vav-form analysis remains enrichment review only.",medium,pending_yossi_enrichment_review,Confirm whether the token-level morphology proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_18_r018_t001,Bereishis 1:18,וְלִמְשֹׁל בַּיּוֹם וּבַלַּיְלָה,ולמשל,shoresh=משל; prefixes=ו;ל; suffixes=; tense=infinitive; person=; gender=; number=; part_of_speech=verb; dikduk_feature=compound prefix plus governing verb candidate; canonical_skill_id=,data/word_bank.json:ולמשל; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.06,ולמשל mixes prefix handling and verb/root work; keep follow-up before verification.,low,needs_follow_up,Confirm whether the token-level morphology proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_18_r019_t001,Bereishis 1:18,וּלְהַבְדִּיל בֵּין הָאוֹר וּבֵין הַחֹשֶׁךְ,ולהבדיל,shoresh=בדל; prefixes=ו;ל; suffixes=; tense=infinitive; person=; gender=; number=; part_of_speech=verb; dikduk_feature=compound prefix plus separation verb candidate; canonical_skill_id=,data/word_bank.json:ולהבדיל; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.06; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07,"ולהבדיל is useful, but compound prefix handling needs review before enrichment verification.",low,needs_follow_up,Confirm whether the token-level morphology proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
