candidate_id	source_map_file	source_row_id	ref	hebrew_phrase	token_index	hebrew_token	clean_hebrew_no_nikud	proposed_shoresh	proposed_prefixes	proposed_suffixes	proposed_tense	proposed_person	proposed_gender	proposed_number	proposed_part_of_speech	proposed_dikduk_feature	evidence_source_id	evidence_source_type	evidence_note	confidence	enrichment_review_status	yossi_decision	yossi_notes	question_allowed	protected_preview_allowed	runtime_allowed	reviewed_bank_allowed
morph_b1_14_r002_t001	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_002	Bereishis 1:14	יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם	1	יהי	יהי	היה			future/jussive			singular	verb	future/jussive candidate	data/word_bank.json:יהי; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07	project_word_bank_reference_only; zekelman_structured_standard	Local evidence makes יהי useful for review, but exact future/jussive force needs Yossi review.	low	needs_follow_up	needs_follow_up	Yossi follow-up: future/jussive, vav-form, prefix-compound, imperative, or thin-evidence morphology needs stronger trusted support.	needs_review	false	false	false
morph_b1_14_r003_t001	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_003	Bereishis 1:14	לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה	1	להבדיל	להבדיל	בדל	ל		infinitive				verb	prefix ל plus separation verb candidate	data/word_bank.json:להבדיל; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.06; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07	project_word_bank_reference_only; zekelman_structured_standard	Word-bank evidence supports a בדל separation candidate with prefixed ל; exact morphology remains review-only.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local morphology evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
morph_b1_14_r004_t001	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_004	Bereishis 1:14	וְהָיוּ לְאֹתֹת	1	והיו	והיו	היה	ו		future			plural	verb	vav plus plural being-form candidate	data/word_bank.json:והיו; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07	project_word_bank_reference_only; zekelman_structured_standard	והיו is useful but exact tense/function needs stronger review evidence.	low	needs_follow_up	needs_follow_up	Yossi follow-up: future/jussive, vav-form, prefix-compound, imperative, or thin-evidence morphology needs stronger trusted support.	needs_review	false	false	false
morph_b1_15_r007_t001	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_007	Bereishis 1:15	וְהָיוּ לִמְאוֹרֹת בִּרְקִיעַ הַשָּׁמַיִם	1	והיו	והיו	היה	ו		future			plural	verb	vav plus plural being-form candidate	data/word_bank.json:והיו; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07	project_word_bank_reference_only; zekelman_structured_standard	Second והיו instance remains review-only because the local evidence does not settle exact form.	low	needs_follow_up	needs_follow_up	Yossi follow-up: future/jussive, vav-form, prefix-compound, imperative, or thin-evidence morphology needs stronger trusted support.	needs_review	false	false	false
morph_b1_15_r008_t001	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_008	Bereishis 1:15	לְהָאִיר עַל הָאָרֶץ	1	להאיר	להאיר	אור	ל		infinitive				verb	prefix ל plus light/shine verb candidate	data/word_bank.json:להאיר; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.06; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07	project_word_bank_reference_only; zekelman_structured_standard	להאיר has local word-bank support; exact verb-feature framing remains review-only.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local morphology evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
morph_b1_15_r009_t001	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_009	Bereishis 1:15	וַיְהִי כֵן	1	ויהי	ויהי	היה	ו		past/future narrative			singular	verb	vav narrative being-form candidate	data/word_bank.json:ויהי; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07	project_word_bank_reference_only; zekelman_structured_standard	ויהי is locally attested, but exact verb-form lane needs review.	low	needs_follow_up	needs_follow_up	Yossi follow-up: future/jussive, vav-form, prefix-compound, imperative, or thin-evidence morphology needs stronger trusted support.	needs_review	false	false	false
morph_b1_16_r010_t001	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_010	Bereishis 1:16	וַיַּעַשׂ אֱלֹקִים	1	ויעש	ויעש	עשה	ו		past	3	masculine	singular	verb	vav-hahipuch / past-style verb candidate	data/word_bank.json:ויעש; data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md:line14	project_word_bank_reference_only; zekelman_structured_standard	ויעש has word-bank support and עשה appears in local seed evidence; vav-hahipuch details still need review.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local morphology evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
morph_b1_17_r015_t001	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_015	Bereishis 1:17	וַיִּתֵּן אֹתָם אֱלֹקִים	1	ויתן	ויתן	נתן	ו		past	3	masculine	singular	verb	vav-hahipuch / past-style verb candidate	data/word_bank.json:ויתן; data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md:line14	project_word_bank_reference_only; zekelman_structured_standard	ויתן links to נתן evidence locally, but exact vav-form analysis remains enrichment review only.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local morphology evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
morph_b1_18_r018_t001	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_018	Bereishis 1:18	וְלִמְשֹׁל בַּיּוֹם וּבַלַּיְלָה	1	ולמשל	ולמשל	משל	ו;ל		infinitive				verb	compound prefix plus governing verb candidate	data/word_bank.json:ולמשל; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.06	project_word_bank_reference_only; zekelman_structured_standard	ולמשל mixes prefix handling and verb/root work; keep follow-up before verification.	low	needs_follow_up	needs_follow_up	Yossi follow-up: future/jussive, vav-form, prefix-compound, imperative, or thin-evidence morphology needs stronger trusted support.	needs_review	false	false	false
morph_b1_18_r019_t001	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_019	Bereishis 1:18	וּלְהַבְדִּיל בֵּין הָאוֹר וּבֵין הַחֹשֶׁךְ	1	ולהבדיל	ולהבדיל	בדל	ו;ל		infinitive				verb	compound prefix plus separation verb candidate	data/word_bank.json:ולהבדיל; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.06; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07	project_word_bank_reference_only; zekelman_structured_standard	ולהבדיל is useful, but compound prefix handling needs review before enrichment verification.	low	needs_follow_up	needs_follow_up	Yossi follow-up: future/jussive, vav-form, prefix-compound, imperative, or thin-evidence morphology needs stronger trusted support.	needs_review	false	false	false
