row_id,ref,hebrew_phrase,linear_translation,metsudah_context,koren_context,skill_primary,skill_secondary,current_status,issue_type,what_to_check,recommended_default_decision,yossi_decision,yossi_notes
bereishis_3_17_to_3_24_source_to_skill_map_row_007,Bereishis 3:17,בְּעִצָּבוֹן תֹּאכֲלֶנָּה,with pain you will eat her (produce),"To the man He said, Because you listened to your wife, and ate from the tree which I commanded you, saying, Do not eat from it; the soil will be cursed because of you. In sorrow you shall eat from it all the days of your life.","And to the man He said, Because thou hast hearkened to the voice of thy wife, and hast eaten of the tree, of which I commanded thee, saying, Thou shalt not eat of it: cursed is the ground for thy sake; in sorrow shalt thou eat of it all the days of thy life;",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_009,Bereishis 3:18,וְקוֹץ וְדַרְדַּר תַּצְמִיחַ לָךְ,and she (the land) will sprout thorns for you,It will grow thorns and thistles for you; and you will eat the herbs of the field.,thorns also and thistles shall it bring forth to thee; and thou shalt eat the herb of the field;,phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_013,Bereishis 3:19,עַד שׁוּבְךָ אֶל הָאֲדָמָה,until your return to the ground (at burial),"By the sweat of your face you will eat bread, until you return to the ground for from it [the ground] were you taken. For you are dust and to dust you shall return.","in the sweat of thy face shalt thou eat bread, till thou return to the ground; for out of it wast thou taken: for dust thou art, and to dust shalt thou return.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_016,Bereishis 3:19,וְאֶל עָפָר תָּשׁוּב,and to soil you will return (your body will disintegrate),"By the sweat of your face you will eat bread, until you return to the ground for from it [the ground] were you taken. For you are dust and to dust you shall return.","in the sweat of thy face shalt thou eat bread, till thou return to the ground; for out of it wast thou taken: for dust thou art, and to dust shalt thou return.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_017,Bereishis 3:20,וַיִּקְרָא הָאָדָם שֵׁם אִשְׁתּוֹ,and the person called the name of his woman,"The man called his wife’s name Chavah, [Eve] because she had become the mother of all living.",And the man called his wife’s name Ḥavva; because she was the mother of all living (Ḥay).,phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_018,Bereishis 3:20,חַוָּה,Chava,"The man called his wife’s name Chavah, [Eve] because she had become the mother of all living.",And the man called his wife’s name Ḥavva; because she was the mother of all living (Ḥay).,phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_019,Bereishis 3:20,כִּי הִוא הָיְתָה,because she was,"The man called his wife’s name Chavah, [Eve] because she had become the mother of all living.",And the man called his wife’s name Ḥavva; because she was the mother of all living (Ḥay).,phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_020,Bereishis 3:20,אֵם כָּל חָי,the mother of all living,"The man called his wife’s name Chavah, [Eve] because she had become the mother of all living.",And the man called his wife’s name Ḥavva; because she was the mother of all living (Ḥay).,phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_026,Bereishis 3:22,הֵן הָאָדָם הָיָה כְּאַחַד מִמֶּנּוּ,behold the person was (became) like one of us,"Adonoy Elohim said, Behold, the man has become like one of us to know [what is] good and [what is] evil. Now he must be prevented from reaching out his hand and also taking from the Tree of Life and eat [from it] and live forever.","And the Lord God said, Behold, the man is become like one of Us, knowing good and evil: and now, what if he put forth his hand, and take also of the tree of life, and eating, live for ever:",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_001,Bereishis 3:17,וּלְאָדָם אָמַר,and to Adam He said,"To the man He said, Because you listened to your wife, and ate from the tree which I commanded you, saying, Do not eat from it; the soil will be cursed because of you. In sorrow you shall eat from it all the days of your life.","And to the man He said, Because thou hast hearkened to the voice of thy wife, and hast eaten of the tree, of which I commanded thee, saying, Thou shalt not eat of it: cursed is the ground for thy sake; in sorrow shalt thou eat of it all the days of thy life;",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
