candidate_id	source_map_file	source_row_id	ref	hebrew_phrase	token_index	hebrew_token	clean_hebrew_no_nikud	proposed_translation	proposed_shoresh_or_keyword	proposed_vocabulary_category	first_150_match	first_150_entry_id	evidence_source_id	evidence_source_type	evidence_note	confidence	enrichment_review_status	yossi_decision	yossi_notes	question_allowed	protected_preview_allowed	runtime_allowed	reviewed_bank_allowed
p2_vocab_001	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_001	Bereishis 2:1	וַיְכֻלּוּ הַשָּׁמַיִם וְהָאָרֶץ	1	וַיְכֻלּוּ	ויכלו			needs_yossi_review			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Vocabulary/shoresh candidate created from verified Perek 2 source row; isolated meaning or shoresh must be supplied by later review before eligibility.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_vocab_002	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_001	Bereishis 2:1	וַיְכֻלּוּ הַשָּׁמַיִם וְהָאָרֶץ	2	הַשָּׁמַיִם	השמים			needs_yossi_review			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Vocabulary/shoresh candidate created from verified Perek 2 source row; isolated meaning or shoresh must be supplied by later review before eligibility.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_vocab_003	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_001	Bereishis 2:1	וַיְכֻלּוּ הַשָּׁמַיִם וְהָאָרֶץ	3	וְהָאָרֶץ	והארץ			needs_yossi_review			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Vocabulary/shoresh candidate created from verified Perek 2 source row; isolated meaning or shoresh must be supplied by later review before eligibility.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_vocab_004	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_002	Bereishis 2:1	וְכׇל צְבָאָם	1	וְכׇל	וכל			needs_yossi_review			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Vocabulary/shoresh candidate created from verified Perek 2 source row; isolated meaning or shoresh must be supplied by later review before eligibility.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_vocab_005	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_002	Bereishis 2:1	וְכׇל צְבָאָם	2	צְבָאָם	צבאם			needs_yossi_review			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Vocabulary/shoresh candidate created from verified Perek 2 source row; isolated meaning or shoresh must be supplied by later review before eligibility.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_vocab_006	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_003	Bereishis 2:2	וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה	1	וַיְכַל	ויכל			needs_yossi_review			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Vocabulary/shoresh candidate created from verified Perek 2 source row; isolated meaning or shoresh must be supplied by later review before eligibility.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_vocab_007	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_003	Bereishis 2:2	וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה	2	אֱלֹהִים	אלהים			needs_yossi_review			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Vocabulary/shoresh candidate created from verified Perek 2 source row; isolated meaning or shoresh must be supplied by later review before eligibility.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_vocab_008	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_003	Bereishis 2:2	וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה	3	בַּיּוֹם	ביום			needs_yossi_review			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Vocabulary/shoresh candidate created from verified Perek 2 source row; isolated meaning or shoresh must be supplied by later review before eligibility.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_vocab_009	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_003	Bereishis 2:2	וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה	4	הַשְּׁבִיעִי	השביעי			needs_yossi_review			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Vocabulary/shoresh candidate created from verified Perek 2 source row; isolated meaning or shoresh must be supplied by later review before eligibility.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_vocab_010	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_003	Bereishis 2:2	וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה	5	מְלַאכְתּוֹ	מלאכתו			needs_yossi_review			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Vocabulary/shoresh candidate created from verified Perek 2 source row; isolated meaning or shoresh must be supplied by later review before eligibility.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_vocab_011	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_003	Bereishis 2:2	וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה	6	אֲשֶׁר	אשר			needs_yossi_review			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Vocabulary/shoresh candidate created from verified Perek 2 source row; isolated meaning or shoresh must be supplied by later review before eligibility.	low	pending_yossi_enrichment_review			needs_review	false	false	false
