candidate_id,ref,hebrew_phrase,hebrew_token,proposed_values,evidence_source_id,evidence_note,confidence,current_status,what_to_check,recommended_default_decision,yossi_decision,yossi_notes,safety_warning
p2_morph_001,Bereishis 2:1,וַיְכֻלּוּ הַשָּׁמַיִם וְהָאָרֶץ,וַיְכֻלּוּ,proposed_part_of_speech=needs_yossi_review,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-level morphology candidate created from verified Perek 2 source row; no morphology claim is approved before Yossi review.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Morphology Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_morph_002,Bereishis 2:1,וַיְכֻלּוּ הַשָּׁמַיִם וְהָאָרֶץ,הַשָּׁמַיִם,proposed_part_of_speech=needs_yossi_review,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-level morphology candidate created from verified Perek 2 source row; no morphology claim is approved before Yossi review.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Morphology Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_morph_003,Bereishis 2:1,וַיְכֻלּוּ הַשָּׁמַיִם וְהָאָרֶץ,וְהָאָרֶץ,proposed_part_of_speech=needs_yossi_review,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-level morphology candidate created from verified Perek 2 source row; no morphology claim is approved before Yossi review.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Morphology Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_morph_004,Bereishis 2:1,וְכׇל צְבָאָם,וְכׇל,proposed_part_of_speech=needs_yossi_review,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-level morphology candidate created from verified Perek 2 source row; no morphology claim is approved before Yossi review.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Morphology Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_morph_005,Bereishis 2:1,וְכׇל צְבָאָם,צְבָאָם,proposed_part_of_speech=needs_yossi_review,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-level morphology candidate created from verified Perek 2 source row; no morphology claim is approved before Yossi review.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Morphology Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_morph_006,Bereishis 2:2,וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה,וַיְכַל,proposed_part_of_speech=needs_yossi_review,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-level morphology candidate created from verified Perek 2 source row; no morphology claim is approved before Yossi review.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Morphology Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_morph_007,Bereishis 2:2,וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה,אֱלֹהִים,proposed_part_of_speech=needs_yossi_review,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-level morphology candidate created from verified Perek 2 source row; no morphology claim is approved before Yossi review.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Morphology Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_morph_008,Bereishis 2:2,וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה,בַּיּוֹם,proposed_part_of_speech=needs_yossi_review,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-level morphology candidate created from verified Perek 2 source row; no morphology claim is approved before Yossi review.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Morphology Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_morph_009,Bereishis 2:2,וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה,הַשְּׁבִיעִי,proposed_part_of_speech=needs_yossi_review,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-level morphology candidate created from verified Perek 2 source row; no morphology claim is approved before Yossi review.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Morphology Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_morph_010,Bereishis 2:2,וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה,מְלַאכְתּוֹ,proposed_part_of_speech=needs_yossi_review,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-level morphology candidate created from verified Perek 2 source row; no morphology claim is approved before Yossi review.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Morphology Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_morph_011,Bereishis 2:2,וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה,אֲשֶׁר,proposed_part_of_speech=needs_yossi_review,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-level morphology candidate created from verified Perek 2 source row; no morphology claim is approved before Yossi review.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Morphology Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_morph_012,Bereishis 2:2,וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה,עָשָׂה,proposed_part_of_speech=needs_yossi_review,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-level morphology candidate created from verified Perek 2 source row; no morphology claim is approved before Yossi review.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Morphology Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_morph_013,Bereishis 2:2,וַיִּשְׁבֹּת בַּיּוֹם הַשְּׁבִיעִי,וַיִּשְׁבֹּת,proposed_part_of_speech=needs_yossi_review,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-level morphology candidate created from verified Perek 2 source row; no morphology claim is approved before Yossi review.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Morphology Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_morph_014,Bereishis 2:2,וַיִּשְׁבֹּת בַּיּוֹם הַשְּׁבִיעִי,בַּיּוֹם,proposed_part_of_speech=needs_yossi_review,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-level morphology candidate created from verified Perek 2 source row; no morphology claim is approved before Yossi review.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Morphology Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_morph_015,Bereishis 2:2,וַיִּשְׁבֹּת בַּיּוֹם הַשְּׁבִיעִי,הַשְּׁבִיעִי,proposed_part_of_speech=needs_yossi_review,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-level morphology candidate created from verified Perek 2 source row; no morphology claim is approved before Yossi review.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Morphology Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_morph_016,Bereishis 2:2,מִכָּל מְלַאכְתּוֹ אֲשֶׁר עָשָׂה,מִכָּל,proposed_part_of_speech=needs_yossi_review,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-level morphology candidate created from verified Perek 2 source row; no morphology claim is approved before Yossi review.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Morphology Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
