candidate_id	parent_candidate_id	source_map_file	source_row_id	ref	hebrew_phrase	token_index	hebrew_token	clean_hebrew_no_nikud	proposed_skill_id	proposed_zekelman_standard	proposed_standard_level	canonical_skill_id	canonical_standard_anchor	evidence_source_id	evidence_source_type	evidence_note	confidence	enrichment_review_status	yossi_decision	yossi_notes	question_allowed	protected_preview_allowed	reviewed_bank_allowed	runtime_allowed
p2_tstd_001	p2_std_001	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_001	Bereishis 2:1	וַיְכֻלּוּ הַשָּׁמַיִם וְהָאָרֶץ	1	וַיְכֻלּוּ	ויכלו	phrase_translation			phrase_translation		sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_tstd_002	p2_std_001	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_001	Bereishis 2:1	וַיְכֻלּוּ הַשָּׁמַיִם וְהָאָרֶץ	2	הַשָּׁמַיִם	השמים	phrase_translation			phrase_translation		sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.	low	yossi_enrichment_verified	verified	Yossi verified this token-split clean noun standards enrichment group for enrichment mapping only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
p2_tstd_003	p2_std_001	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_001	Bereishis 2:1	וַיְכֻלּוּ הַשָּׁמַיִם וְהָאָרֶץ	3	וְהָאָרֶץ	והארץ	phrase_translation			phrase_translation		sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.	low	yossi_enrichment_verified	verified	Yossi verified this token-split clean noun standards enrichment group for enrichment mapping only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
p2_tstd_004	p2_std_002	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_002	Bereishis 2:1	וְכׇל צְבָאָם	1	וְכׇל	וכל	phrase_translation			phrase_translation		sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_tstd_005	p2_std_002	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_002	Bereishis 2:1	וְכׇל צְבָאָם	2	צְבָאָם	צבאם	phrase_translation			phrase_translation		sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.	low	yossi_enrichment_verified	verified	Yossi verified this token-split clean noun standards enrichment group for enrichment mapping only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
p2_tstd_006	p2_std_003	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_003	Bereishis 2:2	וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה	1	וַיְכַל	ויכל	phrase_translation			phrase_translation		sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_tstd_007	p2_std_003	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_003	Bereishis 2:2	וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה	2	אֱלֹהִים	אלהים	phrase_translation			phrase_translation		sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_tstd_008	p2_std_003	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_003	Bereishis 2:2	וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה	3	בַּיּוֹם	ביום	phrase_translation			phrase_translation		sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_tstd_009	p2_std_003	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_003	Bereishis 2:2	וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה	4	הַשְּׁבִיעִי	השביעי	phrase_translation			phrase_translation		sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.	low	yossi_enrichment_verified	verified	Yossi verified this token-split clean noun standards enrichment group for enrichment mapping only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
p2_tstd_010	p2_std_003	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_003	Bereishis 2:2	וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה	5	מְלַאכְתּוֹ	מלאכתו	phrase_translation			phrase_translation		sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.	low	yossi_enrichment_verified	verified	Yossi verified this token-split clean noun standards enrichment group for enrichment mapping only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
