input_candidate_id,audit_id,ref,hebrew_token,hebrew_phrase,approved_family,risk_level,selection_reason,teacher_wording_review_status,answer_key_review_status,distractor_review_status,context_display_review_status,yossi_input_planning_decision,yossi_notes
ppplan_b1_001,qelig_b1_010,Bereishis 1:2,המים,על פני המים,vocabulary_meaning,low,Early low-risk vocabulary token with concrete source context.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval. Later answer-key review must decide whether the expected answer includes the article or only the base meaning."
ppplan_b1_002,qelig_b1_035,Bereishis 1:6,רקיע,יְהִי רָקִיעַ,vocabulary_meaning,low,Early-middle low-risk vocabulary token central to the slice and easy to review.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
ppplan_b1_003,qelig_b1_038,Bereishis 1:11,דשא,תַּדְשֵׁא הָאָרֶץ דֶּשֶׁא,vocabulary_meaning,low,Low-risk plant vocabulary token with direct local evidence.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
ppplan_b1_004,qelig_b1_040,Bereishis 1:11,פרי,עֵץ פְּרִי עֹשֶׂה פְּרִי,vocabulary_meaning,low,Low-risk noun vocabulary token with clean one-token scope.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
ppplan_b1_005,qelig_b1_085,Bereishis 1:14,מאורות,יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם,vocabulary_meaning,low,Middle-slice low-risk luminary vocabulary token with clean local evidence.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
ppplan_b1_006,qelig_b1_089,Bereishis 1:14,לילה,לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה,vocabulary_meaning,low,Middle-slice low-risk time vocabulary token paired with simple meaning review.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
ppplan_b1_007,qelig_b1_098,Bereishis 1:20,שרץ,שֶׁרֶץ נֶפֶשׁ חַיָּה,vocabulary_meaning,low,Low-risk living-creature vocabulary token from the middle-late slice.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
ppplan_b1_008,qelig_b1_101,Bereishis 1:20,עוף,וְעוֹף יְעוֹפֵף עַל הָאָרֶץ,vocabulary_meaning,low,Low-risk animal/bird vocabulary token with clean token scope.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
ppplan_b1_009,qelig_b1_193,Bereishis 1:24,בהמה,בְּהֵמָה וָרֶמֶשׂ וְחַיְתוֹ אֶרֶץ לְמִינָהּ,vocabulary_meaning,low,Late-slice low-risk animal vocabulary token for perek spread.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
ppplan_b1_010,qelig_b1_200,Bereishis 1:25,האדמה,וְאֵת כָּל רֶמֶשׂ הָאֲדָמָה לְמִינֵהוּ,vocabulary_meaning,low,Late-slice low-risk land vocabulary token with local evidence.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval. Later answer-key review must decide whether the expected answer includes the article or only the base meaning."
