template_skeleton_candidate_id	gate_2_input_candidate_id	source_candidate_id	source_ref	hebrew_token	hebrew_phrase	approved_family	canonical_skill_id	canonical_standard_anchor	skeleton_family	skeleton_policy_version	non_student_facing_skeleton_label	required_variables	forbidden_outputs	teacher_wording_review_status	answer_key_review_status	distractor_review_status	context_display_review_status	hebrew_rendering_review_status	protected_preview_gate_review_status	template_skeleton_status	question_allowed	answer_choices_allowed	answer_key_allowed	distractors_allowed	protected_preview_allowed	reviewed_bank_allowed	runtime_allowed	student_facing_allowed	cautions	yossi_template_skeleton_decision	yossi_template_skeleton_notes
g2skel_p2_001	g2p2_001	p2_tstd_002	Bereishis 2:1	הַשָּׁמַיִם	וַיְכֻלּוּ הַשָּׁמַיִם וְהָאָרֶץ	basic_noun_recognition	phrase_translation		basic_noun_recognition	template_skeleton_policy.v1	basic noun recognition skeleton: identify reviewed token as simple noun/object/person/place/thing	hebrew_token|hebrew_phrase|context_display|simple_category	final_question_text|student_ready_prompt|answer_choices|answer_key|distractors|controlled_draft_item|protected_preview_content|reviewed_bank_entry|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	yossi_approved_with_revision_for_exact_wording_planning	needs_review	false	false	false	false	false	false	false	Use simple noun/object/person/place/thing language only. Do not ask article/prefix/preposition/verb-form/shoresh questions. Teacher review required before exact wording. Revision: exact wording and answer-key review must treat this as the base noun שמים / sky/heavens, not as an article/prefix question.	approve_with_revision	Revision: exact wording and answer-key review must treat this as the base noun שמים / sky/heavens, not as an article/prefix question. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
g2skel_p2_002	g2p2_002	p2_tstd_045	Bereishis 2:4	אֶרֶץ	אֶרֶץ וְשָׁמָיִם	basic_noun_recognition	phrase_translation		basic_noun_recognition	template_skeleton_policy.v1	basic noun recognition skeleton: identify reviewed token as simple noun/object/person/place/thing	hebrew_token|hebrew_phrase|context_display|simple_category	final_question_text|student_ready_prompt|answer_choices|answer_key|distractors|controlled_draft_item|protected_preview_content|reviewed_bank_entry|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	yossi_approved_for_exact_wording_planning	needs_review	false	false	false	false	false	false	false	Use simple noun/object/person/place/thing language only. Do not ask article/prefix/preposition/verb-form/shoresh questions. Teacher review required before exact wording.	approve_for_exact_wording_planning	Approved for exact wording planning only. This is not question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
g2skel_p2_003	g2p2_003	p2_tstd_054	Bereishis 2:5	עֵשֶׂב	וְכׇל עֵשֶׂב הַשָּׂדֶה טֶרֶם יִצְמָח	basic_noun_recognition	phrase_translation		basic_noun_recognition	template_skeleton_policy.v1	basic noun recognition skeleton: identify reviewed token as simple noun/object/person/place/thing	hebrew_token|hebrew_phrase|context_display|simple_category	final_question_text|student_ready_prompt|answer_choices|answer_key|distractors|controlled_draft_item|protected_preview_content|reviewed_bank_entry|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	yossi_approved_for_exact_wording_planning	needs_review	false	false	false	false	false	false	false	Use simple noun/object/person/place/thing language only. Do not ask article/prefix/preposition/verb-form/shoresh questions. Teacher review required before exact wording.	approve_for_exact_wording_planning	Approved for exact wording planning only. This is not question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
g2skel_p2_004	g2p2_006	p2_tstd_098	Bereishis 2:8	גַּן	גַּן בְּעֵדֶן מִקֶּדֶם	basic_noun_recognition	phrase_translation		basic_noun_recognition	template_skeleton_policy.v1	basic noun recognition skeleton: identify reviewed token as simple noun/object/person/place/thing	hebrew_token|hebrew_phrase|context_display|simple_category	final_question_text|student_ready_prompt|answer_choices|answer_key|distractors|controlled_draft_item|protected_preview_content|reviewed_bank_entry|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	yossi_approved_for_exact_wording_planning	needs_review	false	false	false	false	false	false	false	Use simple noun/object/person/place/thing language only. Do not ask article/prefix/preposition/verb-form/shoresh questions. Teacher review required before exact wording.	approve_for_exact_wording_planning	Approved for exact wording planning only. This is not question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
g2skel_p2_005	g2p2_007	p2_tstd_113	Bereishis 2:9	עֵץ	כׇּל עֵץ	basic_noun_recognition	phrase_translation		basic_noun_recognition	template_skeleton_policy.v1	basic noun recognition skeleton: identify reviewed token as simple noun/object/person/place/thing	hebrew_token|hebrew_phrase|context_display|simple_category	final_question_text|student_ready_prompt|answer_choices|answer_key|distractors|controlled_draft_item|protected_preview_content|reviewed_bank_entry|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	yossi_approved_for_exact_wording_planning	needs_review	false	false	false	false	false	false	false	Use simple noun/object/person/place/thing language only. Do not ask article/prefix/preposition/verb-form/shoresh questions. Teacher review required before exact wording.	approve_for_exact_wording_planning	Approved for exact wording planning only. This is not question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
g2skel_p2_006	g2p2_009	p2_tstd_137	Bereishis 2:11	שֵׁם	שֵׁם הָאֶחָד פִּישׁוֹן	basic_noun_recognition	phrase_translation		basic_noun_recognition	template_skeleton_policy.v1	basic noun recognition skeleton: identify reviewed token as simple noun/object/person/place/thing	hebrew_token|hebrew_phrase|context_display|simple_category	final_question_text|student_ready_prompt|answer_choices|answer_key|distractors|controlled_draft_item|protected_preview_content|reviewed_bank_entry|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	yossi_approved_for_exact_wording_planning	needs_review	false	false	false	false	false	false	false	Use simple noun/object/person/place/thing language only. Do not ask article/prefix/preposition/verb-form/shoresh questions. Teacher review required before exact wording.	approve_for_exact_wording_planning	Approved for exact wording planning only. This is not question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
g2skel_p2_007	g2p2_010	p2_tstd_148	Bereishis 2:11	הַזָּהָב	אֲשֶׁר שָׁם הַזָּהָב	basic_noun_recognition	phrase_translation		basic_noun_recognition	template_skeleton_policy.v1	basic noun recognition skeleton: identify reviewed token as simple noun/object/person/place/thing	hebrew_token|hebrew_phrase|context_display|simple_category	final_question_text|student_ready_prompt|answer_choices|answer_key|distractors|controlled_draft_item|protected_preview_content|reviewed_bank_entry|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	yossi_approved_with_revision_for_exact_wording_planning	needs_review	false	false	false	false	false	false	false	Use simple noun/object/person/place/thing language only. Do not ask article/prefix/preposition/verb-form/shoresh questions. Teacher review required before exact wording. Revision: exact wording and answer-key review must treat this as the base noun זהב / gold, not as an article/prefix question.	approve_with_revision	Revision: exact wording and answer-key review must treat this as the base noun זהב / gold, not as an article/prefix question. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
g2skel_p2_008	g2p2_012	p2_tstd_155	Bereishis 2:12	וְאֶבֶן	שָׁם הַבְּדֹלַח וְאֶבֶן הַשֹּׁהַם	basic_noun_recognition	phrase_translation		basic_noun_recognition	template_skeleton_policy.v1	basic noun recognition skeleton: identify reviewed token as simple noun/object/person/place/thing	hebrew_token|hebrew_phrase|context_display|simple_category	final_question_text|student_ready_prompt|answer_choices|answer_key|distractors|controlled_draft_item|protected_preview_content|reviewed_bank_entry|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	yossi_approved_with_revision_for_exact_wording_planning	needs_review	false	false	false	false	false	false	false	Use simple noun/object/person/place/thing language only. Do not ask article/prefix/preposition/verb-form/shoresh questions. Teacher review required before exact wording. Revision: exact wording and answer-key review must treat this as the base noun אבן / stone, not as a vav/prefix question.	approve_with_revision	Revision: exact wording and answer-key review must treat this as the base noun אבן / stone, not as a vav/prefix question. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
g2skel_p2_009	g2p2_013	p2_tstd_158	Bereishis 2:13	הַנָּהָר	וְשֵׁם הַנָּהָר הַשֵּׁנִי גִּיחוֹן	basic_noun_recognition	phrase_translation		basic_noun_recognition	template_skeleton_policy.v1	basic noun recognition skeleton: identify reviewed token as simple noun/object/person/place/thing	hebrew_token|hebrew_phrase|context_display|simple_category	final_question_text|student_ready_prompt|answer_choices|answer_key|distractors|controlled_draft_item|protected_preview_content|reviewed_bank_entry|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	yossi_approved_with_revision_for_exact_wording_planning	needs_review	false	false	false	false	false	false	false	Use simple noun/object/person/place/thing language only. Do not ask article/prefix/preposition/verb-form/shoresh questions. Teacher review required before exact wording. Revision: exact wording and answer-key review must treat this as the base noun נהר / river, not as an article/prefix question.	approve_with_revision	Revision: exact wording and answer-key review must treat this as the base noun נהר / river, not as an article/prefix question. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
g2skel_p2_010	g2p2_014	p2_tstd_186	Bereishis 2:15	עֵדֶן	וַיַּנִּחֵהוּ בְגַן עֵדֶן	basic_noun_recognition	phrase_translation		basic_noun_recognition	template_skeleton_policy.v1	basic noun recognition skeleton: identify reviewed token as simple noun/object/person/place/thing	hebrew_token|hebrew_phrase|context_display|simple_category	final_question_text|student_ready_prompt|answer_choices|answer_key|distractors|controlled_draft_item|protected_preview_content|reviewed_bank_entry|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	yossi_approved_for_exact_wording_planning	needs_review	false	false	false	false	false	false	false	Use simple noun/object/person/place/thing language only. Do not ask article/prefix/preposition/verb-form/shoresh questions. Teacher review required before exact wording.	approve_for_exact_wording_planning	Approved for exact wording planning only. This is not question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
