review_group_id,category,hebrew_token_or_pattern,refs_or_count,representative_candidate_ids,evidence_summary,strengthened_confidence,recommended_yossi_decision,recommendation_reason,yossi_decision,yossi_notes
p2_comp_120,clean_shoresh_group,ברא,1 candidates; Bereishis 2:3,p2_vocab_033,"1 raw candidates across 1 refs; verified source rows: Bereishis 2:3; sample local source evidence: Bereishis 2:3: אֲשֶׁר בָּרָא אֱלֹהִים לַעֲשׂוֹת -> that Hashem created (and was supposed) to make (on the seventh day, namely, the person, and instead He made double on the sixth day and ceased on the seventh)",medium-low,needs_follow_up,"Verified source rows support the surface word context, but the local source map does not explicitly provide the target shoresh for these rows.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_121,clean_shoresh_group,הלך,1 candidates; Bereishis 2:14,p2_vocab_172,1 raw candidates across 1 refs; verified source rows: Bereishis 2:14; sample local source evidence: Bereishis 2:14: הוּא הַהֹלֵךְ קִדְמַת אַשּׁוּר -> he is the one who goes East of Ashur,medium-low,needs_follow_up,"Verified source rows support the surface word context, but the local source map does not explicitly provide the target shoresh for these rows.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_122,clean_shoresh_group,חיה,"2 candidates; Bereishis 2:7, Bereishis 2:19","p2_vocab_094, p2_vocab_250","2 raw candidates across 2 refs; verified source rows: Bereishis 2:19, Bereishis 2:7; sample local source evidence: Bereishis 2:7: וַיְהִי הָאָדָם לְנֶפֶשׁ חַיָּה -> and the person became a live soul | Bereishis 2:19: וְכֹל אֲשֶׁר יִקְרָא לוֹ הָאָדָם נֶפֶשׁ חַיָּה -> and any live soul that the person will call to him (a name)",medium-low,needs_follow_up,"Verified source rows support the surface word context, but the local source map does not explicitly provide the target shoresh for these rows.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_123,clean_shoresh_group,יצר,"2 candidates; Bereishis 2:8, Bereishis 2:19","p2_vocab_106, p2_vocab_225","2 raw candidates across 2 refs; verified source rows: Bereishis 2:19, Bereishis 2:8; sample local source evidence: Bereishis 2:8: אֶת הָאָדָם אֲשֶׁר יָצָר -> the person that He formed | Bereishis 2:19: וַיִּצֶר יְהוָה אֱלֹהִים מִן הָאֲדָמָה -> and Hashem formed from the ground",medium-low,needs_follow_up,"Verified source rows support the surface word context, but the local source map does not explicitly provide the target shoresh for these rows.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_124,clean_shoresh_group,לקח,1 candidates; Bereishis 2:22,p2_vocab_287,1 raw candidates across 1 refs; verified source rows: Bereishis 2:22; sample local source evidence: Bereishis 2:22: אֶת הַצֵּלָע אֲשֶׁר לָקַח מִן הָאָדָם -> the side that He took from the person,medium-low,needs_follow_up,"Verified source rows support the surface word context, but the local source map does not explicitly provide the target shoresh for these rows.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_125,clean_shoresh_group,מות,1 candidates; Bereishis 2:17,p2_vocab_211,1 raw candidates across 1 refs; verified source rows: Bereishis 2:17; sample local source evidence: Bereishis 2:17: מוֹת תָּמוּת -> you will die,medium-low,needs_follow_up,"Verified source rows support the surface word context, but the local source map does not explicitly provide the target shoresh for these rows.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_126,clean_shoresh_group,עשה,2 candidates; Bereishis 2:2,"p2_vocab_012, p2_vocab_019",2 raw candidates across 1 refs; verified source rows: Bereishis 2:2; sample local source evidence: Bereishis 2:2: וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה -> and Hashem finished in the seventh day His constructive work that He made | Bereishis 2:2: מִכָּל מְלַאכְתּוֹ אֲשֶׁר עָשָׂה -> from all His constructive work that He made,medium-low,needs_follow_up,"Verified source rows support the surface word context, but the local source map does not explicitly provide the target shoresh for these rows.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_127,clean_vocabulary_noun_group,אביו,1 candidates; Bereishis 2:24,p2_vocab_314,1 raw candidates across 1 refs; verified source rows: Bereishis 2:24; sample local source evidence: Bereishis 2:24: אֶת אָבִיו וְאֶת אִמּוֹ -> his father and mother,medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_128,clean_vocabulary_noun_group,אבן,1 candidates; Bereishis 2:12,p2_vocab_155,1 raw candidates across 1 refs; verified source rows: Bereishis 2:12; sample local source evidence: Bereishis 2:12: שָׁם הַבְּדֹלַח וְאֶבֶן הַשֹּׁהַם -> there is the crystal and the Shoham stone,medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_129,clean_vocabulary_noun_group,אדם,"15 candidates; Bereishis 2:5, Bereishis 2:7, Bereishis 2:8, Bereishis 2:15, Bereishis 2:16, Bereishis 2:18, Bereishis 2:19, Bereishis 2:20 (+4 more refs)","p2_vocab_065, p2_vocab_083, p2_vocab_092, p2_vocab_104, p2_vocab_183, p2_vocab_193, p2_vocab_219, p2_vocab_239, p2_vocab_248, p2_vocab_254, +5 more","15 raw candidates across 12 refs; verified source rows: Bereishis 2:15, Bereishis 2:16, Bereishis 2:18, Bereishis 2:19, Bereishis 2:20, Bereishis 2:21, Bereishis 2:22, Bereishis 2:23, +4 more; sample local source evidence: Bereishis 2:5: וְאָדָם אַיִן לַעֲבֹד אֶת הָאֲדָמָה -> and a person isn't (available) to work the ground | Bereishis 2:7: וַיִּיצֶר יְהוָה אֱלֹהִים אֶת הָאָדָם -> and Hashem formed the person | Bereishis 2:7: וַיְהִי הָאָדָם לְנֶפֶשׁ חַיָּה -> and the person became a live soul",medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
