skeleton_candidate_id	input_candidate_id	audit_id	ref	hebrew_token	hebrew_phrase	approved_family	skeleton_family	skeleton_policy_version	non_student_facing_skeleton_label	required_variables	forbidden_outputs	teacher_wording_review_status	answer_key_review_status	distractor_review_status	context_display_review_status	hebrew_rendering_review_status	protected_preview_gate_review_status	template_skeleton_status	final_question_allowed	answer_choices_allowed	answer_key_allowed	protected_preview_allowed	reviewed_bank_allowed	runtime_allowed	student_facing_allowed	cautions	notes
tskel_b1_001	ppplan_b1_001	qelig_b1_010	Bereishis 1:2	המים	על פני המים	vocabulary_meaning	vocabulary_meaning	template_skeleton_policy.v1	meaning_of_single_reviewed_token_skeleton	hebrew_token|hebrew_phrase|approved_family|meaning_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	Answer-key review must decide base meaning vs article-inclusive meaning.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_002	ppplan_b1_002	qelig_b1_035	Bereishis 1:6	רקיע	יְהִי רָקִיעַ	vocabulary_meaning	vocabulary_meaning	template_skeleton_policy.v1	meaning_of_single_reviewed_token_skeleton	hebrew_token|hebrew_phrase|approved_family|meaning_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	No special caution beyond required review gates.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_003	ppplan_b1_003	qelig_b1_038	Bereishis 1:11	דשא	תַּדְשֵׁא הָאָרֶץ דֶּשֶׁא	vocabulary_meaning	vocabulary_meaning	template_skeleton_policy.v1	meaning_of_single_reviewed_token_skeleton	hebrew_token|hebrew_phrase|approved_family|meaning_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	No special caution beyond required review gates.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_004	ppplan_b1_004	qelig_b1_040	Bereishis 1:11	פרי	עֵץ פְּרִי עֹשֶׂה פְּרִי	vocabulary_meaning	vocabulary_meaning	template_skeleton_policy.v1	meaning_of_single_reviewed_token_skeleton	hebrew_token|hebrew_phrase|approved_family|meaning_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	No special caution beyond required review gates.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_005	ppplan_b1_005	qelig_b1_085	Bereishis 1:14	מאורות	יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם	vocabulary_meaning	vocabulary_meaning	template_skeleton_policy.v1	meaning_of_single_reviewed_token_skeleton	hebrew_token|hebrew_phrase|approved_family|meaning_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	No special caution beyond required review gates.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_006	ppplan_b1_006	qelig_b1_089	Bereishis 1:14	לילה	לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה	vocabulary_meaning	vocabulary_meaning	template_skeleton_policy.v1	meaning_of_single_reviewed_token_skeleton	hebrew_token|hebrew_phrase|approved_family|meaning_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	No special caution beyond required review gates.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_007	ppplan_b1_007	qelig_b1_098	Bereishis 1:20	שרץ	שֶׁרֶץ נֶפֶשׁ חַיָּה	vocabulary_meaning	vocabulary_meaning	template_skeleton_policy.v1	meaning_of_single_reviewed_token_skeleton	hebrew_token|hebrew_phrase|approved_family|meaning_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	No special caution beyond required review gates.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_008	ppplan_b1_008	qelig_b1_101	Bereishis 1:20	עוף	וְעוֹף יְעוֹפֵף עַל הָאָרֶץ	vocabulary_meaning	vocabulary_meaning	template_skeleton_policy.v1	meaning_of_single_reviewed_token_skeleton	hebrew_token|hebrew_phrase|approved_family|meaning_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	No special caution beyond required review gates.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_009	ppplan_b1_009	qelig_b1_193	Bereishis 1:24	בהמה	בְּהֵמָה וָרֶמֶשׂ וְחַיְתוֹ אֶרֶץ לְמִינָהּ	vocabulary_meaning	vocabulary_meaning	template_skeleton_policy.v1	meaning_of_single_reviewed_token_skeleton	hebrew_token|hebrew_phrase|approved_family|meaning_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	No special caution beyond required review gates.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_010	ppplan_b1_010	qelig_b1_200	Bereishis 1:25	האדמה	וְאֵת כָּל רֶמֶשׂ הָאֲדָמָה לְמִינֵהוּ	vocabulary_meaning	vocabulary_meaning	template_skeleton_policy.v1	meaning_of_single_reviewed_token_skeleton	hebrew_token|hebrew_phrase|approved_family|meaning_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	Answer-key review must decide base meaning vs article-inclusive meaning.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
