candidate_id	parent_candidate_id	source_map_file	source_row_id	ref	hebrew_phrase	token_index	hebrew_token	clean_hebrew_no_nikud	proposed_skill_id	proposed_zekelman_standard	proposed_standard_level	canonical_skill_id	canonical_standard_anchor	evidence_source_id	evidence_source_type	evidence_note	confidence	enrichment_review_status	yossi_decision	yossi_notes	question_allowed	protected_preview_allowed	reviewed_bank_allowed	runtime_allowed
stdtok_b1_14_23_001	std_b1_14_r002	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_002	Bereishis 1:14	יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם	1	יהי	יהי	std3_07_verb_features	3.07	Levels 1-8	VERB.TENSE.FUTURE	3.07	data/standards/canonical_skill_contract.json:VERB.TENSE.FUTURE; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_002	canonical_skill_contract; zekelman_structured_standard; verified_source_to_skill_map	Isolates יהי into a 3.07 verb-feature lane; future/jussive force remains follow-up.	low	needs_follow_up	needs_follow_up	Yossi follow-up: verb-form, prefix/preposition, thin-evidence vocabulary, or unresolved mapping remains open.	needs_review	false	false	false
stdtok_b1_14_23_002	std_b1_14_r002	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_002	Bereishis 1:14	יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם	2	מאורות	מארת	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	WORD.MEANING_BASIC	3.01	data/standards/canonical_skill_contract.json:WORD.MEANING_BASIC; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_002	canonical_skill_contract; zekelman_structured_standard; verified_source_to_skill_map	Isolates מאורות into a noun-vocabulary lane.	medium	yossi_enrichment_verified	verified	Yossi verified: clean token-level vocabulary/root/function-word standards mapping for enrichment only; all later gates remain closed.	needs_review	false	false	false
stdtok_b1_14_23_003	std_b1_14_r002	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_002	Bereishis 1:14	יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם	3	ב	ב	std3_06_prefix_function_identification	3.06	Levels 1-8	PREFIX.BASIC_PREPOSITIONS	3.06	data/standards/canonical_skill_contract.json:PREFIX.BASIC_PREPOSITIONS; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.06; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_002	canonical_skill_contract; zekelman_structured_standard; verified_source_to_skill_map	Isolates prefixed ב from ברקיע; prefix-function evidence remains follow-up.	low	needs_follow_up	needs_follow_up	Yossi follow-up: verb-form, prefix/preposition, thin-evidence vocabulary, or unresolved mapping remains open.	needs_review	false	false	false
stdtok_b1_14_23_004	std_b1_14_r002	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_002	Bereishis 1:14	יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם	4	רקיע	רקיע	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	WORD.MEANING_BASIC	3.01	data/standards/canonical_skill_contract.json:WORD.MEANING_BASIC; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_002	canonical_skill_contract; zekelman_structured_standard; verified_source_to_skill_map	Isolates רקיע into a noun-vocabulary lane.	medium	yossi_enrichment_verified	verified	Yossi verified: clean token-level vocabulary/root/function-word standards mapping for enrichment only; all later gates remain closed.	needs_review	false	false	false
stdtok_b1_14_23_005	std_b1_14_r002	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_002	Bereishis 1:14	יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם	5	שמים	שמים	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	WORD.MEANING_BASIC	3.01	data/standards/canonical_skill_contract.json:WORD.MEANING_BASIC; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_002	canonical_skill_contract; zekelman_structured_standard; verified_source_to_skill_map	Isolates שמים into a noun-vocabulary lane.	medium	yossi_enrichment_verified	verified	Yossi verified: clean token-level vocabulary/root/function-word standards mapping for enrichment only; all later gates remain closed.	needs_review	false	false	false
stdtok_b1_14_23_006	std_b1_14_r003	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_003	Bereishis 1:14	לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה	1	ל	ל	std3_06_prefix_function_identification	3.06	Levels 1-8	PREFIX.BASIC_PREPOSITIONS	3.06	data/standards/canonical_skill_contract.json:PREFIX.BASIC_PREPOSITIONS; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.06; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_003	canonical_skill_contract; zekelman_structured_standard; verified_source_to_skill_map	Isolates prefixed ל from להבדיל; prefix-function evidence remains follow-up.	low	needs_follow_up	needs_follow_up	Yossi follow-up: verb-form, prefix/preposition, thin-evidence vocabulary, or unresolved mapping remains open.	needs_review	false	false	false
stdtok_b1_14_23_007	std_b1_14_r003	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_003	Bereishis 1:14	לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה	2	הבדיל	הבדיל	std3_02_root_identification	3.02	Levels 1-8	ROOT.IDENTIFY	3.02	data/standards/canonical_skill_contract.json:ROOT.IDENTIFY; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.02; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_003	canonical_skill_contract; zekelman_structured_standard; verified_source_to_skill_map	Isolates the בדל root candidate from להבדיל for root-identification review.	medium	yossi_enrichment_verified	verified	Yossi verified: clean token-level vocabulary/root/function-word standards mapping for enrichment only; all later gates remain closed.	needs_review	false	false	false
stdtok_b1_14_23_008	std_b1_14_r003	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_003	Bereishis 1:14	לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה	3	יום	יום	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	WORD.MEANING_BASIC	3.01	data/standards/canonical_skill_contract.json:WORD.MEANING_BASIC; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_003	canonical_skill_contract; zekelman_structured_standard; verified_source_to_skill_map	Isolates יום into a noun-vocabulary lane.	medium	yossi_enrichment_verified	verified	Yossi verified: clean token-level vocabulary/root/function-word standards mapping for enrichment only; all later gates remain closed.	needs_review	false	false	false
stdtok_b1_14_23_009	std_b1_14_r003	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_003	Bereishis 1:14	לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה	4	לילה	לילה	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	WORD.MEANING_BASIC	3.01	data/standards/canonical_skill_contract.json:WORD.MEANING_BASIC; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_003	canonical_skill_contract; zekelman_structured_standard; verified_source_to_skill_map	Isolates לילה into a noun-vocabulary lane.	medium	yossi_enrichment_verified	verified	Yossi verified: clean token-level vocabulary/root/function-word standards mapping for enrichment only; all later gates remain closed.	needs_review	false	false	false
stdtok_b1_14_23_010	std_b1_15_r007	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_007	Bereishis 1:15	וְהָיוּ לִמְאוֹרֹת בִּרְקִיעַ הַשָּׁמַיִם	1	והיו	והיו	std3_07_verb_features	3.07	Levels 1-8	VERB.TENSE.FUTURE	3.07	data/standards/canonical_skill_contract.json:VERB.TENSE.FUTURE; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_007	canonical_skill_contract; zekelman_structured_standard; verified_source_to_skill_map	Isolates והיו into a verb-feature lane; exact tense/function remains follow-up.	low	needs_follow_up	needs_follow_up	Yossi follow-up: verb-form, prefix/preposition, thin-evidence vocabulary, or unresolved mapping remains open.	needs_review	false	false	false
