candidate_id,ref,hebrew_phrase,hebrew_token,proposed_values,evidence_source_id,evidence_note,confidence,current_status,what_to_check,recommended_default_decision,yossi_decision,yossi_notes,safety_warning
vocab_b1_24_r002_t002,Bereishis 1:24,תּוֹצֵא הָאָרֶץ,הארץ,translation=earth/land; shoresh_or_keyword=ארץ; category=noun_vocabulary; first_150_match=yes; first_150_entry_id=first150_078,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_002; data/word_bank.json:הארץ,Token-level land vocabulary candidate with local seed support.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r003_t001,Bereishis 1:24,נֶפֶשׁ חַיָּה לְמִינָהּ,נפש,translation=living being/soul; shoresh_or_keyword=נפש; category=noun_vocabulary; first_150_match=yes; first_150_entry_id=first150_101,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_003; data/word_bank.json:נפש,High-value vocabulary token for review.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r003_t002,Bereishis 1:24,נֶפֶשׁ חַיָּה לְמִינָהּ,חיה,translation=living creature; shoresh_or_keyword=חיה; category=noun_vocabulary; first_150_match=yes; first_150_entry_id=first150_050,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_003; data/word_bank.json:חיה,Creature vocabulary token retained for review.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r004_t001,Bereishis 1:24,בְּהֵמָה וָרֶמֶשׂ וְחַיְתוֹ אֶרֶץ לְמִינָהּ,בהמה,translation=beast/cattle; shoresh_or_keyword=בהמה; category=noun_vocabulary; first_150_match=no; first_150_entry_id=,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_004; data/word_bank.json:בהמה,Useful noun vocabulary candidate; contextual support local.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r004_t002,Bereishis 1:24,בְּהֵמָה וָרֶמֶשׂ וְחַיְתוֹ אֶרֶץ לְמִינָהּ,רמש,translation=creeping thing; shoresh_or_keyword=רמש; category=noun_vocabulary; first_150_match=no; first_150_entry_id=,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_004; data/word_bank.json:רמש,Token-level vocabulary candidate from source-map phrase.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r004_t003,Bereishis 1:24,בְּהֵמָה וָרֶמֶשׂ וְחַיְתוֹ אֶרֶץ לְמִינָהּ,ארץ,translation=earth/land; shoresh_or_keyword=ארץ; category=noun_vocabulary; first_150_match=yes; first_150_entry_id=first150_078,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_004; data/word_bank.json:ארץ,Repeated high-value noun token.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r007_t001,Bereishis 1:25,אֶת חַיַּת הָאָרֶץ לְמִינָהּ,חית,translation=wild animal; shoresh_or_keyword=חיה; category=noun_vocabulary; first_150_match=yes; first_150_entry_id=first150_050,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_007; data/word_bank.json:חית,Construct/surface form needs stronger standalone evidence.,low,needs_follow_up,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r007_t002,Bereishis 1:25,אֶת חַיַּת הָאָרֶץ לְמִינָהּ,הארץ,translation=earth/land; shoresh_or_keyword=ארץ; category=noun_vocabulary; first_150_match=yes; first_150_entry_id=first150_078,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_007; data/word_bank.json:הארץ,Stable vocabulary token.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r008_t001,Bereishis 1:25,וְאֶת הַבְּהֵמָה לְמִינָהּ,הבהמה,translation=beast/cattle; shoresh_or_keyword=בהמה; category=noun_vocabulary; first_150_match=no; first_150_entry_id=,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_008; data/word_bank.json:הבהמה,Stable noun token from repeated phrase.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r009_t001,Bereishis 1:25,וְאֵת כָּל רֶמֶשׂ הָאֲדָמָה לְמִינֵהוּ,רמש,translation=creeping thing; shoresh_or_keyword=רמש; category=noun_vocabulary; first_150_match=no; first_150_entry_id=,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_009; data/word_bank.json:רמש,Repeated noun token candidate.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r009_t002,Bereishis 1:25,וְאֵת כָּל רֶמֶשׂ הָאֲדָמָה לְמִינֵהוּ,האדמה,translation=ground/soil; shoresh_or_keyword=אדמה; category=noun_vocabulary; first_150_match=no; first_150_entry_id=,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_009; data/word_bank.json:האדמה,Ground token candidate for review.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r012_t001,Bereishis 1:26,נַעֲשֶׂה אָדָם,אדם,translation=human; shoresh_or_keyword=אדם; category=noun_vocabulary; first_150_match=yes; first_150_entry_id=first150_004,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_012; data/word_bank.json:אדם,Core noun token with strong relevance.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r013_t001,Bereishis 1:26,בְּצַלְמֵנוּ כִּדְמוּתֵנוּ,בצלמנו,translation=in our image; shoresh_or_keyword=צלם; category=noun_vocabulary; first_150_match=no; first_150_entry_id=,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_013; data/word_bank.json:בצלמנו,Compound prepositional form is context-heavy; keep follow-up.,low,needs_follow_up,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
