vocabulary_id	sefer	perek	pasuk	pasuk_ref	hebrew_word	normalized_hebrew	display_hebrew	english_gloss	source_type	source_artifacts	appears_in_canonical_text	source_verified	word_level_approved	word_level_approval_basis	skill_category	subskill	suggested_question_lanes	question_approval_status	protected_preview_candidate_status	reviewed_bank_status	runtime_status	teacher_review_status	blocker_reason	revision_note	safety_classification	allowed_next_use
bsvb_p5_6_001	Bereishis	5	1	Bereishis 5:1	סֵפֶר	ספר	סֵפֶר	not_assigned_planning_only	perek_5_6_existing_artifact_reference	data/gate_2_source_discovery/bereishis_perek_5_6_review_only_safe_candidate_inventory.tsv|data/gate_2_protected_preview_packets/bereishis_perek_5_6_clean_two_item_limited_packet_iteration.tsv	true	true	false	Planning-only inventory only; do not infer vocabulary, question, protected-preview, reviewed-bank, or runtime approval in this task.	noun	basic_noun_recognition	basic_noun_recognition	not_question_approved	planning_only_existing_clean_iteration_reference	not_reviewed_bank	not_runtime	existing_perek_5_6_artifact_reference	planning_only_not_part_of_perek_4_flow	Keep separate from Perek 4 bank.	planning_only	planning_only_future_vocab_bank_task
bsvb_p5_6_002	Bereishis	5	1	Bereishis 5:1	תּוֹלְדֹת	תולדת	תּוֹלְדֹת	not_assigned_planning_only	perek_5_6_existing_artifact_reference	data/gate_2_source_discovery/bereishis_perek_5_6_review_only_safe_candidate_inventory.tsv	true	true	false	Planning-only inventory only; prior artifacts mark this excluded/revision-sensitive, not approved here.	noun	basic_noun_recognition	basic_noun_recognition	not_question_approved	planning_only_excluded_or_revision_reference	not_reviewed_bank	not_runtime	existing_perek_5_6_artifact_reference	planning_only_not_part_of_perek_4_flow	Keep out of current Perek 4 flow.	planning_only	planning_only_future_vocab_bank_task
bsvb_p5_6_003	Bereishis	5	4	Bereishis 5:4	בָּנִים	בנים	בָּנִים	not_assigned_planning_only	perek_5_6_existing_artifact_reference	data/gate_2_source_discovery/bereishis_perek_5_6_review_only_safe_candidate_inventory.tsv	true	true	false	Planning-only inventory only; repeated genealogy formula remains outside this task.	noun	basic_noun_recognition	basic_noun_recognition	not_question_approved	planning_only_excluded_or_revision_reference	not_reviewed_bank	not_runtime	existing_perek_5_6_artifact_reference	planning_only_not_part_of_perek_4_flow	Keep out of current Perek 4 flow.	planning_only	planning_only_future_vocab_bank_task
bsvb_p5_6_004	Bereishis	5	4	Bereishis 5:4	בָנוֹת	בנות	בָנוֹת	not_assigned_planning_only	perek_5_6_existing_artifact_reference	data/gate_2_source_discovery/bereishis_perek_5_6_review_only_safe_candidate_inventory.tsv	true	true	false	Planning-only inventory only; repeated genealogy formula remains outside this task.	noun	basic_noun_recognition	basic_noun_recognition	not_question_approved	planning_only_excluded_or_revision_reference	not_reviewed_bank	not_runtime	existing_perek_5_6_artifact_reference	planning_only_not_part_of_perek_4_flow	Keep out of current Perek 4 flow.	planning_only	planning_only_future_vocab_bank_task
bsvb_p5_6_005	Bereishis	5	28	Bereishis 5:28	בֵּן	בן	בֵּן	not_assigned_planning_only	perek_5_6_existing_artifact_reference	data/gate_2_source_discovery/bereishis_perek_5_6_review_only_safe_candidate_inventory.tsv|data/gate_2_protected_preview_packets/bereishis_perek_5_6_clean_two_item_limited_packet_iteration.tsv	true	true	false	Planning-only inventory only; do not infer vocabulary, question, protected-preview, reviewed-bank, or runtime approval in this task.	noun	basic_noun_recognition	basic_noun_recognition	not_question_approved	planning_only_existing_clean_iteration_reference	not_reviewed_bank	not_runtime	existing_perek_5_6_artifact_reference	planning_only_not_part_of_perek_4_flow	Keep separate from Perek 4 bank.	planning_only	planning_only_future_vocab_bank_task
bsvb_p5_6_006	Bereishis	6	3	Bereishis 6:3	בָשָׂר	בשר	בָשָׂר	not_assigned_planning_only	perek_5_6_existing_artifact_reference	data/gate_2_source_discovery/bereishis_perek_5_6_review_only_safe_candidate_inventory.tsv	true	true	false	Planning-only inventory only; prior observation/review requires revision.	noun	basic_noun_recognition	basic_noun_recognition	not_question_approved	planning_only_revision_reference	not_reviewed_bank	not_runtime	existing_perek_5_6_artifact_reference	planning_only_not_part_of_perek_4_flow	Revision required in prior Perek 5-6 chain.	planning_only	planning_only_future_vocab_bank_task
bsvb_p5_6_007	Bereishis	6	11	Bereishis 6:11	חָמָס	חמס	חָמָס	not_assigned_planning_only	perek_5_6_existing_artifact_reference	data/gate_2_source_discovery/bereishis_perek_5_6_review_only_safe_candidate_inventory.tsv	true	true	false	Planning-only inventory only; still excluded from clean packet work.	noun	basic_noun_recognition	basic_noun_recognition	not_question_approved	planning_only_excluded_reference	not_reviewed_bank	not_runtime	existing_perek_5_6_artifact_reference	planning_only_not_part_of_perek_4_flow	Excluded from prior clean packet iteration.	planning_only	planning_only_future_vocab_bank_task
bsvb_p5_6_008	Bereishis	6	14	Bereishis 6:14	תֵּבַת	תבת	תֵּבַת	not_assigned_planning_only	perek_5_6_existing_artifact_reference	data/gate_2_source_discovery/bereishis_perek_5_6_review_only_safe_candidate_inventory.tsv	true	true	false	Planning-only inventory only; still excluded from clean packet work.	noun	basic_noun_recognition	basic_noun_recognition	not_question_approved	planning_only_excluded_reference	not_reviewed_bank	not_runtime	existing_perek_5_6_artifact_reference	planning_only_not_part_of_perek_4_flow	Excluded from prior clean packet iteration.	planning_only	planning_only_future_vocab_bank_task
bsvb_p5_6_009	Bereishis	6	14	Bereishis 6:14	קִנִּים	קנים	קִנִּים	not_assigned_planning_only	perek_5_6_existing_artifact_reference	data/gate_2_source_discovery/bereishis_perek_5_6_review_only_safe_candidate_inventory.tsv	true	true	false	Planning-only inventory only; still excluded from clean packet work.	noun	basic_noun_recognition	basic_noun_recognition	not_question_approved	planning_only_excluded_reference	not_reviewed_bank	not_runtime	existing_perek_5_6_artifact_reference	planning_only_not_part_of_perek_4_flow	Excluded from prior clean packet iteration.	planning_only	planning_only_future_vocab_bank_task
bsvb_p5_6_010	Bereishis	6	16	Bereishis 6:16	צֹהַר	צהר	צֹהַר	not_assigned_planning_only	perek_5_6_existing_artifact_reference	data/gate_2_source_discovery/bereishis_perek_5_6_review_only_safe_candidate_inventory.tsv	true	true	false	Planning-only inventory only; still excluded from clean packet work.	noun	basic_noun_recognition	basic_noun_recognition	not_question_approved	planning_only_excluded_reference	not_reviewed_bank	not_runtime	existing_perek_5_6_artifact_reference	planning_only_not_part_of_perek_4_flow	Excluded from prior clean packet iteration.	planning_only	planning_only_future_vocab_bank_task
