gate_2_input_candidate_id,source_ref,hebrew_token,hebrew_phrase,approved_family,canonical_skill_id,selection_reason,risk_level,teacher_review_status,answer_key_review_status,distractor_review_status,context_display_review_status,hebrew_rendering_review_status,yossi_gate_2_decision,yossi_notes
g2p2_001,Bereishis 2:1,הַשָּׁמַיִם,וַיְכֻלּוּ הַשָּׁמַיִם וְהָאָרֶץ,basic_noun_recognition,phrase_translation,Low-risk verified token-split noun standards enrichment row selected for Yossi Gate 2 input-planning review only.,low,needs_review,needs_review,needs_review,needs_review,needs_review,approve_for_template_planning,"Approved for future template planning only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
g2p2_002,Bereishis 2:4,אֶרֶץ,אֶרֶץ וְשָׁמָיִם,basic_noun_recognition,phrase_translation,Low-risk verified token-split noun standards enrichment row selected for Yossi Gate 2 input-planning review only.,low,needs_review,needs_review,needs_review,needs_review,needs_review,approve_for_template_planning,"Approved for future template planning only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
g2p2_003,Bereishis 2:5,עֵשֶׂב,וְכׇל עֵשֶׂב הַשָּׂדֶה טֶרֶם יִצְמָח,basic_noun_recognition,phrase_translation,Low-risk verified token-split noun standards enrichment row selected for Yossi Gate 2 input-planning review only.,low,needs_review,needs_review,needs_review,needs_review,needs_review,approve_for_template_planning,"Approved for future template planning only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
g2p2_004,Bereishis 2:5,הַשָּׂדֶה,וְכֹל שִׂיחַ הַשָּׂדֶה,basic_noun_recognition,phrase_translation,Low-risk verified token-split noun standards enrichment row selected for Yossi Gate 2 input-planning review only.,low,needs_review,needs_review,needs_review,needs_review,needs_review,approve_with_revision,"Revision: wording/answer-key must treat this as field / noun recognition only, not article/prefix recognition. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
g2p2_005,Bereishis 2:6,הָאָרֶץ,וְאֵד יַעֲלֶה מִן הָאָרֶץ,basic_noun_recognition,phrase_translation,Low-risk verified token-split noun standards enrichment row selected for Yossi Gate 2 input-planning review only.,low,needs_review,needs_review,needs_review,needs_review,needs_review,approve_with_revision,"Revision: wording/answer-key must decide whether expected recognition is base word land/earth or article-inclusive the land/earth; no prefix/article question. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
g2p2_006,Bereishis 2:8,גַּן,גַּן בְּעֵדֶן מִקֶּדֶם,basic_noun_recognition,phrase_translation,Low-risk verified token-split noun standards enrichment row selected for Yossi Gate 2 input-planning review only.,low,needs_review,needs_review,needs_review,needs_review,needs_review,approve_for_template_planning,"Approved for future template planning only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
g2p2_007,Bereishis 2:9,עֵץ,כׇּל עֵץ,basic_noun_recognition,phrase_translation,Low-risk verified token-split noun standards enrichment row selected for Yossi Gate 2 input-planning review only.,low,needs_review,needs_review,needs_review,needs_review,needs_review,approve_for_template_planning,"Approved for future template planning only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
g2p2_008,Bereishis 2:10,וְנָהָר,וְנָהָר יֹצֵא מֵעֵדֶן,basic_noun_recognition,phrase_translation,Low-risk verified token-split noun standards enrichment row selected for Yossi Gate 2 input-planning review only.,low,needs_review,needs_review,needs_review,needs_review,needs_review,approve_with_revision,"Revision: wording/answer-key must treat this as base noun river; no vav/prefix recognition. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
g2p2_009,Bereishis 2:11,שֵׁם,שֵׁם הָאֶחָד פִּישׁוֹן,basic_noun_recognition,phrase_translation,Low-risk verified token-split noun standards enrichment row selected for Yossi Gate 2 input-planning review only.,low,needs_review,needs_review,needs_review,needs_review,needs_review,approve_for_template_planning,"Approved for future template planning only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
g2p2_010,Bereishis 2:11,הַזָּהָב,אֲשֶׁר שָׁם הַזָּהָב,basic_noun_recognition,phrase_translation,Low-risk verified token-split noun standards enrichment row selected for Yossi Gate 2 input-planning review only.,low,needs_review,needs_review,needs_review,needs_review,needs_review,approve_for_template_planning,"Approved for future template planning only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
g2p2_011,Bereishis 2:12,הַבְּדֹלַח,שָׁם הַבְּדֹלַח וְאֶבֶן הַשֹּׁהַם,basic_noun_recognition,phrase_translation,Low-risk verified token-split noun standards enrichment row selected for Yossi Gate 2 input-planning review only.,low,needs_review,needs_review,needs_review,needs_review,needs_review,needs_follow_up,Needs follow-up: uncommon word; may not be useful for first Gate 2 batch unless school vocabulary specifically teaches it. Keep out of template planning until resolved.
g2p2_012,Bereishis 2:12,וְאֶבֶן,שָׁם הַבְּדֹלַח וְאֶבֶן הַשֹּׁהַם,basic_noun_recognition,phrase_translation,Low-risk verified token-split noun standards enrichment row selected for Yossi Gate 2 input-planning review only.,low,needs_review,needs_review,needs_review,needs_review,needs_review,approve_for_template_planning,"Approved for future template planning only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
g2p2_013,Bereishis 2:13,הַנָּהָר,וְשֵׁם הַנָּהָר הַשֵּׁנִי גִּיחוֹן,basic_noun_recognition,phrase_translation,Low-risk verified token-split noun standards enrichment row selected for Yossi Gate 2 input-planning review only.,low,needs_review,needs_review,needs_review,needs_review,needs_review,approve_for_template_planning,"Approved for future template planning only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
g2p2_014,Bereishis 2:15,עֵדֶן,וַיַּנִּחֵהוּ בְגַן עֵדֶן,basic_noun_recognition,phrase_translation,Low-risk verified token-split noun standards enrichment row selected for Yossi Gate 2 input-planning review only.,low,needs_review,needs_review,needs_review,needs_review,needs_review,approve_for_template_planning,"Approved for future template planning only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
g2p2_015,Bereishis 2:18,עֵזֶר,אֶעֱשֶׂה לּוֹ עֵזֶר כְּנֶגְדּוֹ,basic_noun_recognition,phrase_translation,Low-risk verified token-split noun standards enrichment row selected for Yossi Gate 2 input-planning review only.,low,needs_review,needs_review,needs_review,needs_review,needs_review,needs_follow_up,Needs follow-up: context/thematic meaning helper opposite him may be too sensitive or concept-heavy for a simple noun-recognition template without teacher wording. Keep out of template planning until resolved.
