gate_2_input_candidate_id	source_candidate_file	source_candidate_id	source_ref	hebrew_token	hebrew_phrase	approved_family	canonical_skill_id	canonical_standard_anchor	enrichment_review_status	selection_reason	risk_level	risk_reasons	teacher_review_status	answer_key_review_status	distractor_review_status	context_display_review_status	hebrew_rendering_review_status	gate_2_candidate_status	question_allowed	protected_preview_allowed	reviewed_bank_allowed	runtime_allowed	student_facing_allowed	yossi_gate_2_decision	yossi_gate_2_notes
g2p2_001	data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv	p2_tstd_002	Bereishis 2:1	הַשָּׁמַיִם	וַיְכֻלּוּ הַשָּׁמַיִם וְהָאָרֶץ	basic_noun_recognition	phrase_translation		yossi_enrichment_verified	Low-risk verified token-split noun standards enrichment row selected for Yossi Gate 2 input-planning review only.	low	Verified token-split clean noun standards row; concrete noun token selected for Gate 2 review only.	needs_review	needs_review	needs_review	needs_review	needs_review	yossi_approved_for_template_planning	needs_review	false	false	false	false	approve_for_template_planning	Approved for future template planning only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
g2p2_002	data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv	p2_tstd_045	Bereishis 2:4	אֶרֶץ	אֶרֶץ וְשָׁמָיִם	basic_noun_recognition	phrase_translation		yossi_enrichment_verified	Low-risk verified token-split noun standards enrichment row selected for Yossi Gate 2 input-planning review only.	low	Verified token-split clean noun standards row; concrete noun token selected for Gate 2 review only.	needs_review	needs_review	needs_review	needs_review	needs_review	yossi_approved_for_template_planning	needs_review	false	false	false	false	approve_for_template_planning	Approved for future template planning only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
g2p2_003	data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv	p2_tstd_054	Bereishis 2:5	עֵשֶׂב	וְכׇל עֵשֶׂב הַשָּׂדֶה טֶרֶם יִצְמָח	basic_noun_recognition	phrase_translation		yossi_enrichment_verified	Low-risk verified token-split noun standards enrichment row selected for Yossi Gate 2 input-planning review only.	low	Verified token-split clean noun standards row; concrete noun token selected for Gate 2 review only.	needs_review	needs_review	needs_review	needs_review	needs_review	yossi_approved_for_template_planning	needs_review	false	false	false	false	approve_for_template_planning	Approved for future template planning only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
g2p2_004	data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv	p2_tstd_049	Bereishis 2:5	הַשָּׂדֶה	וְכֹל שִׂיחַ הַשָּׂדֶה	basic_noun_recognition	phrase_translation		yossi_enrichment_verified	Low-risk verified token-split noun standards enrichment row selected for Yossi Gate 2 input-planning review only.	low	Verified token-split clean noun standards row; concrete noun token selected for Gate 2 review only.	needs_review	needs_review	needs_review	needs_review	needs_review	yossi_approved_with_revision_before_template_planning	needs_review	false	false	false	false	approve_with_revision	Revision: wording/answer-key must treat this as field / noun recognition only, not article/prefix recognition. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
g2p2_005	data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv	p2_tstd_073	Bereishis 2:6	הָאָרֶץ	וְאֵד יַעֲלֶה מִן הָאָרֶץ	basic_noun_recognition	phrase_translation		yossi_enrichment_verified	Low-risk verified token-split noun standards enrichment row selected for Yossi Gate 2 input-planning review only.	low	Verified token-split clean noun standards row; concrete noun token selected for Gate 2 review only.	needs_review	needs_review	needs_review	needs_review	needs_review	yossi_approved_with_revision_before_template_planning	needs_review	false	false	false	false	approve_with_revision	Revision: wording/answer-key must decide whether expected recognition is base word land/earth or article-inclusive the land/earth; no prefix/article question. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
g2p2_006	data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv	p2_tstd_098	Bereishis 2:8	גַּן	גַּן בְּעֵדֶן מִקֶּדֶם	basic_noun_recognition	phrase_translation		yossi_enrichment_verified	Low-risk verified token-split noun standards enrichment row selected for Yossi Gate 2 input-planning review only.	low	Verified token-split clean noun standards row; concrete noun token selected for Gate 2 review only.	needs_review	needs_review	needs_review	needs_review	needs_review	yossi_approved_for_template_planning	needs_review	false	false	false	false	approve_for_template_planning	Approved for future template planning only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
g2p2_007	data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv	p2_tstd_113	Bereishis 2:9	עֵץ	כׇּל עֵץ	basic_noun_recognition	phrase_translation		yossi_enrichment_verified	Low-risk verified token-split noun standards enrichment row selected for Yossi Gate 2 input-planning review only.	low	Verified token-split clean noun standards row; concrete noun token selected for Gate 2 review only.	needs_review	needs_review	needs_review	needs_review	needs_review	yossi_approved_for_template_planning	needs_review	false	false	false	false	approve_for_template_planning	Approved for future template planning only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
g2p2_008	data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv	p2_tstd_126	Bereishis 2:10	וְנָהָר	וְנָהָר יֹצֵא מֵעֵדֶן	basic_noun_recognition	phrase_translation		yossi_enrichment_verified	Low-risk verified token-split noun standards enrichment row selected for Yossi Gate 2 input-planning review only.	low	Verified token-split clean noun standards row; concrete noun token selected for Gate 2 review only.	needs_review	needs_review	needs_review	needs_review	needs_review	yossi_approved_with_revision_before_template_planning	needs_review	false	false	false	false	approve_with_revision	Revision: wording/answer-key must treat this as base noun river; no vav/prefix recognition. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
g2p2_009	data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv	p2_tstd_137	Bereishis 2:11	שֵׁם	שֵׁם הָאֶחָד פִּישׁוֹן	basic_noun_recognition	phrase_translation		yossi_enrichment_verified	Low-risk verified token-split noun standards enrichment row selected for Yossi Gate 2 input-planning review only.	low	Verified token-split clean noun standards row; concrete noun token selected for Gate 2 review only.	needs_review	needs_review	needs_review	needs_review	needs_review	yossi_approved_for_template_planning	needs_review	false	false	false	false	approve_for_template_planning	Approved for future template planning only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
g2p2_010	data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv	p2_tstd_148	Bereishis 2:11	הַזָּהָב	אֲשֶׁר שָׁם הַזָּהָב	basic_noun_recognition	phrase_translation		yossi_enrichment_verified	Low-risk verified token-split noun standards enrichment row selected for Yossi Gate 2 input-planning review only.	low	Verified token-split clean noun standards row; concrete noun token selected for Gate 2 review only.	needs_review	needs_review	needs_review	needs_review	needs_review	yossi_approved_for_template_planning	needs_review	false	false	false	false	approve_for_template_planning	Approved for future template planning only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
g2p2_011	data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv	p2_tstd_154	Bereishis 2:12	הַבְּדֹלַח	שָׁם הַבְּדֹלַח וְאֶבֶן הַשֹּׁהַם	basic_noun_recognition	phrase_translation		yossi_enrichment_verified	Low-risk verified token-split noun standards enrichment row selected for Yossi Gate 2 input-planning review only.	low	Verified token-split clean noun standards row; concrete noun token selected for Gate 2 review only.	needs_review	needs_review	needs_review	needs_review	needs_review	needs_follow_up	needs_review	false	false	false	false	needs_follow_up	Needs follow-up: uncommon word; may not be useful for first Gate 2 batch unless school vocabulary specifically teaches it. Keep out of template planning until resolved.
g2p2_012	data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv	p2_tstd_155	Bereishis 2:12	וְאֶבֶן	שָׁם הַבְּדֹלַח וְאֶבֶן הַשֹּׁהַם	basic_noun_recognition	phrase_translation		yossi_enrichment_verified	Low-risk verified token-split noun standards enrichment row selected for Yossi Gate 2 input-planning review only.	low	Verified token-split clean noun standards row; concrete noun token selected for Gate 2 review only.	needs_review	needs_review	needs_review	needs_review	needs_review	yossi_approved_for_template_planning	needs_review	false	false	false	false	approve_for_template_planning	Approved for future template planning only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
