eligibility_row_id	eligibility_classification	source_id	vocabulary_id	candidate_id	hebrew_word	question_lane	required_revision	next_allowed_gate	runtime_status	reviewed_bank_status	notes
bvt_el_001	clean_eligible_for_future_protected_preview_candidate_gate	svqcl_p4_001	bsvb_p4_001	svqcl_p4_001	אִישׁ	translate_hebrew_to_english	none	future_protected_preview_candidate_gate_only	not_runtime	not_reviewed_bank	Clean Yossi decision for future gate only.
bvt_el_002	clean_eligible_for_future_protected_preview_candidate_gate	svqcl_p4_002	bsvb_p4_001	svqcl_p4_002	אִישׁ	find_word_in_pasuk	none	future_protected_preview_candidate_gate_only	not_runtime	not_reviewed_bank	Clean Yossi decision for future gate only.
bvt_el_003	clean_eligible_for_future_protected_preview_candidate_gate	svqcl_p4_003	bsvb_p4_001	svqcl_p4_003	אִישׁ	classify_basic_part_of_speech	none	future_protected_preview_candidate_gate_only	not_runtime	not_reviewed_bank	Clean Yossi decision for future gate only.
bvt_el_004	clean_eligible_for_future_protected_preview_candidate_gate	svqcl_p4_005	bsvb_p4_002	svqcl_p4_005	צֹאן	find_word_in_pasuk	none for this candidate; separate word-level gloss revision tracked	future_protected_preview_candidate_gate_only	not_runtime	not_reviewed_bank	Clean Yossi decision for future gate only.
bvt_el_005	clean_eligible_for_future_protected_preview_candidate_gate	svqcl_p4_006	bsvb_p4_002	svqcl_p4_006	צֹאן	classify_basic_part_of_speech	none for this candidate; separate word-level gloss revision tracked	future_protected_preview_candidate_gate_only	not_runtime	not_reviewed_bank	Clean Yossi decision for future gate only.
bvt_el_006	revision_required_before_future_gate	bsvb_p4_002	bsvb_p4_002	not_applicable	צֹאן	not_applicable	Normalize word-level gloss consistently to flock / sheep or another single teacher-approved beginner gloss.	revision_required_before_future_protected_preview_candidate_gate	not_runtime	not_reviewed_bank	Not clean eligible until revision is applied.
bvt_el_007	revision_required_before_future_gate	svqcl_p4_004	bsvb_p4_002	svqcl_p4_004	צֹאן	translate_hebrew_to_english	Normalize expected answer to flock / sheep or another single teacher-approved beginner gloss.	revision_required_before_future_protected_preview_candidate_gate	not_runtime	not_reviewed_bank	Not clean eligible until revision is applied.
bvt_el_008	held_for_follow_up	bsvb_p4_003	bsvb_p4_003	not_applicable	אֲדָמָה	not_applicable	Teacher follow-up on ground / earth / land gloss.	follow_up_teacher_review_only	not_runtime	not_reviewed_bank	Held outside future clean gate.
bvt_el_009	held_for_follow_up	bsvb_p4_004	bsvb_p4_004	not_applicable	מִנְחָה	not_applicable	Teacher follow-up on offering / gift / tribute gloss.	follow_up_teacher_review_only	not_runtime	not_reviewed_bank	Held outside future clean gate.
bvt_el_010	held_for_follow_up	svqcl_p4_007	bsvb_p4_005	svqcl_p4_007	אוֹת	translate_hebrew_to_english	Follow-up teacher review because pasuk context may be conceptually loaded.	follow_up_teacher_review_only	not_runtime	not_reviewed_bank	Held outside future clean gate.
bvt_el_011	held_for_follow_up	svqcl_p4_008	bsvb_p4_005	svqcl_p4_008	אוֹת	find_word_in_pasuk	Follow-up teacher review with other אוֹת candidates.	follow_up_teacher_review_only	not_runtime	not_reviewed_bank	Held outside future clean gate.
bvt_el_012	held_for_follow_up	svqcl_p4_009	bsvb_p4_005	svqcl_p4_009	אוֹת	classify_basic_part_of_speech	Follow-up teacher review with other אוֹת candidates.	follow_up_teacher_review_only	not_runtime	not_reviewed_bank	Held outside future clean gate.
bvt_el_013	word_level_only_approved	bsvb_p4_001	bsvb_p4_001	not_applicable	אִישׁ	not_applicable	none	word_level_record_only	not_runtime	not_reviewed_bank	Word-level decision recorded; not itself a question candidate.
bvt_el_014	word_level_only_approved	bsvb_p4_005	bsvb_p4_005	not_applicable	אוֹת	not_applicable	none for word-level record; related question candidates remain held	word_level_record_only	not_runtime	not_reviewed_bank	Word-level decision recorded; question candidates held.
