candidate_id,ref,hebrew_phrase,hebrew_token,proposed_values,evidence_source_id,evidence_note,confidence,current_status,what_to_check,recommended_default_decision,yossi_decision,yossi_notes,safety_warning
p2_tstd_001,Bereishis 2:1,וַיְכֻלּוּ הַשָּׁמַיִם וְהָאָרֶץ,וַיְכֻלּוּ,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_002,Bereishis 2:1,וַיְכֻלּוּ הַשָּׁמַיִם וְהָאָרֶץ,הַשָּׁמַיִם,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_003,Bereishis 2:1,וַיְכֻלּוּ הַשָּׁמַיִם וְהָאָרֶץ,וְהָאָרֶץ,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_004,Bereishis 2:1,וְכׇל צְבָאָם,וְכׇל,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_005,Bereishis 2:1,וְכׇל צְבָאָם,צְבָאָם,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_006,Bereishis 2:2,וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה,וַיְכַל,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_007,Bereishis 2:2,וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה,אֱלֹהִים,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_008,Bereishis 2:2,וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה,בַּיּוֹם,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_009,Bereishis 2:2,וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה,הַשְּׁבִיעִי,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_010,Bereishis 2:2,וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה,מְלַאכְתּוֹ,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
