candidate_id,parent_candidate_id,ref,hebrew_token,parent_phrase,proposed_zekelman_standard,canonical_skill_id,canonical_standard_anchor,evidence_note,confidence,current_status,recommended_decision,yossi_decision,yossi_notes
stdtok_b1_14_23_001,std_b1_14_r002,Bereishis 1:14,יהי,יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם,3.07,VERB.TENSE.FUTURE,3.07,Isolates יהי into a 3.07 verb-feature lane; future/jussive force remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_14_23_002,std_b1_14_r002,Bereishis 1:14,מאורות,יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם,3.01,WORD.MEANING_BASIC,3.01,Isolates מאורות into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_003,std_b1_14_r002,Bereishis 1:14,ב,יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם,3.06,PREFIX.BASIC_PREPOSITIONS,3.06,Isolates prefixed ב from ברקיע; prefix-function evidence remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_14_23_004,std_b1_14_r002,Bereishis 1:14,רקיע,יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם,3.01,WORD.MEANING_BASIC,3.01,Isolates רקיע into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_005,std_b1_14_r002,Bereishis 1:14,שמים,יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם,3.01,WORD.MEANING_BASIC,3.01,Isolates שמים into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_006,std_b1_14_r003,Bereishis 1:14,ל,לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה,3.06,PREFIX.BASIC_PREPOSITIONS,3.06,Isolates prefixed ל from להבדיל; prefix-function evidence remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_14_23_007,std_b1_14_r003,Bereishis 1:14,הבדיל,לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה,3.02,ROOT.IDENTIFY,3.02,Isolates the בדל root candidate from להבדיל for root-identification review.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_008,std_b1_14_r003,Bereishis 1:14,יום,לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה,3.01,WORD.MEANING_BASIC,3.01,Isolates יום into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_009,std_b1_14_r003,Bereishis 1:14,לילה,לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה,3.01,WORD.MEANING_BASIC,3.01,Isolates לילה into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_010,std_b1_15_r007,Bereishis 1:15,והיו,וְהָיוּ לִמְאוֹרֹת בִּרְקִיעַ הַשָּׁמַיִם,3.07,VERB.TENSE.FUTURE,3.07,Isolates והיו into a verb-feature lane; exact tense/function remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_14_23_011,std_b1_15_r007,Bereishis 1:15,ל,וְהָיוּ לִמְאוֹרֹת בִּרְקִיעַ הַשָּׁמַיִם,3.06,PREFIX.BASIC_PREPOSITIONS,3.06,Isolates prefixed ל from למאורות; prefix-function evidence remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_14_23_012,std_b1_15_r007,Bereishis 1:15,מאורות,וְהָיוּ לִמְאוֹרֹת בִּרְקִיעַ הַשָּׁמַיִם,3.01,WORD.MEANING_BASIC,3.01,Isolates מאורות into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_013,std_b1_15_r007,Bereishis 1:15,רקיע,וְהָיוּ לִמְאוֹרֹת בִּרְקִיעַ הַשָּׁמַיִם,3.01,WORD.MEANING_BASIC,3.01,Isolates רקיע into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_014,std_b1_15_r007,Bereishis 1:15,שמים,וְהָיוּ לִמְאוֹרֹת בִּרְקִיעַ הַשָּׁמַיִם,3.01,WORD.MEANING_BASIC,3.01,Isolates שמים into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_015,std_b1_16_r011,Bereishis 1:16,את,אֶת שְׁנֵי הַמְּאֹרֹת הַגְּדֹלִים,3.03,PARTICLE.DIRECT_OBJECT_MARKER,3.03,Isolates את as direct-object-marker/function-word review.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_016,std_b1_16_r011,Bereishis 1:16,מאורות,אֶת שְׁנֵי הַמְּאֹרֹת הַגְּדֹלִים,3.01,WORD.MEANING_BASIC,3.01,Isolates מאורות into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_017,std_b1_16_r012,Bereishis 1:16,את,אֶת הַמָּאוֹר הַגָּדֹל לְמֶמְשֶׁלֶת הַיּוֹם,3.03,PARTICLE.DIRECT_OBJECT_MARKER,3.03,Isolates את as direct-object-marker/function-word review.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_018,std_b1_16_r012,Bereishis 1:16,מאור,אֶת הַמָּאוֹר הַגָּדֹל לְמֶמְשֶׁלֶת הַיּוֹם,3.01,WORD.MEANING_BASIC,3.01,Isolates מאור into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
