decision_row_id	source_type	source_id	vocabulary_id	candidate_id	pasuk_ref	hebrew_word	english_gloss_before	english_gloss_after	skill_category	question_lane	prompt_preview	expected_answer_before	expected_answer_after	yossi_decision	yossi_notes	required_revision	decision_effect	next_allowed_gate	protected_preview_candidate_eligibility	reviewed_bank_status	runtime_status	decision_source	reviewed_by	reviewed_at	safety_notes
bvt_rd_001	word_level_vocabulary	bsvb_p4_001	bsvb_p4_001	not_applicable	Bereishis 4:1	אִישׁ	man	man	noun	not_applicable	not_applicable	not_applicable	not_applicable	approve_word_level	Low-risk vocabulary item. Safe and useful as a teacher-reviewed word item.	none	word_level_approved_by_yossi	word_level_record_only	word_level_only_approved	not_reviewed_bank	not_runtime	Yossi chat instruction: agreed with advisory recommendations and instructed to mark them as his decisions.	Yossi	2026-04-30	Decision artifact only; no runtime, reviewed-bank, protected-preview packet, or student-facing activation.
bvt_rd_002	word_level_vocabulary	bsvb_p4_002	bsvb_p4_002	not_applicable	Bereishis 4:2	צֹאן	sheep and goats	flock / sheep	noun	not_applicable	not_applicable	not_applicable	not_applicable	approve_word_level_with_revision	Safe vocabulary item, but gloss consistency must be cleaned before any later protected-preview movement.	Normalize gloss consistently. Use a teacher-approved beginner gloss such as flock / sheep; do not use conflicting expected answers like sheep and goats unless explicitly preserved as an alternate note.	word_level_approved_with_revision_by_yossi	revision_required_before_future_protected_preview_candidate_gate	revision_required_before_future_gate	not_reviewed_bank	not_runtime	Yossi chat instruction: agreed with advisory recommendations and instructed to mark them as his decisions.	Yossi	2026-04-30	Decision artifact only; no runtime, reviewed-bank, protected-preview packet, or student-facing activation.
bvt_rd_003	word_level_vocabulary	bsvb_p4_003	bsvb_p4_003	not_applicable	Bereishis 4:2	אֲדָמָה	ground	ground / earth / land unresolved	noun	not_applicable	not_applicable	not_applicable	not_applicable	hold_for_follow_up	Keep in revision/watch. The word may be useful, but question-candidate wording needs teacher attention because the gloss may vary by context: ground / earth / land.	Teacher should later decide whether the beginner gloss should be ground, earth, land, or context-specific.	held_for_follow_up	follow_up_teacher_review_only	held_for_follow_up	not_reviewed_bank	not_runtime	Yossi chat instruction: agreed with advisory recommendations and instructed to mark them as his decisions.	Yossi	2026-04-30	Decision artifact only; no runtime, reviewed-bank, protected-preview packet, or student-facing activation.
bvt_rd_004	word_level_vocabulary	bsvb_p4_004	bsvb_p4_004	not_applicable	Bereishis 4:3	מִנְחָה	present	offering / gift / tribute unresolved	noun	not_applicable	not_applicable	not_applicable	not_applicable	hold_for_follow_up	Keep in revision/watch. The word may be useful, but question-candidate wording needs teacher attention because the gloss may vary by context: offering / gift / tribute.	Teacher should later decide whether the beginner gloss should be offering, gift, tribute, or context-specific.	held_for_follow_up	follow_up_teacher_review_only	held_for_follow_up	not_reviewed_bank	not_runtime	Yossi chat instruction: agreed with advisory recommendations and instructed to mark them as his decisions.	Yossi	2026-04-30	Decision artifact only; no runtime, reviewed-bank, protected-preview packet, or student-facing activation.
bvt_rd_005	word_level_vocabulary	bsvb_p4_005	bsvb_p4_005	not_applicable	Bereishis 4:15	אוֹת	sign	sign	noun	not_applicable	not_applicable	not_applicable	not_applicable	approve_word_level	Safe as a word-level vocabulary item, but simple question candidates should be held for now because the pasuk context may be more conceptually loaded.	none for word-level record; related question candidates remain held	word_level_approved_by_yossi	word_level_record_only	word_level_only_approved	not_reviewed_bank	not_runtime	Yossi chat instruction: agreed with advisory recommendations and instructed to mark them as his decisions.	Yossi	2026-04-30	Decision artifact only; no runtime, reviewed-bank, protected-preview packet, or student-facing activation.
bvt_rd_006	simple_question_candidate	svqcl_p4_001	bsvb_p4_001	svqcl_p4_001	Bereishis 4:1	אִישׁ	man	man	noun	translate_hebrew_to_english	What does the word "אִישׁ" mean?	man	man	approve_for_protected_preview_candidate	Low-risk simple translation candidate.	none	eligible_for_future_protected_preview_candidate_gate	future_protected_preview_candidate_gate_only	clean_eligible_for_future_protected_preview_candidate_gate	not_reviewed_bank	not_runtime	Yossi chat instruction: agreed with advisory recommendations and instructed to mark them as his decisions.	Yossi	2026-04-30	Decision artifact only; no runtime, reviewed-bank, protected-preview packet, or student-facing activation.
bvt_rd_007	simple_question_candidate	svqcl_p4_002	bsvb_p4_001	svqcl_p4_002	Bereishis 4:1	אִישׁ	man	man	noun	find_word_in_pasuk	Find the word "אִישׁ" in the pasuk.	אִישׁ	אִישׁ	approve_for_protected_preview_candidate	Low-risk find-word candidate.	none	eligible_for_future_protected_preview_candidate_gate	future_protected_preview_candidate_gate_only	clean_eligible_for_future_protected_preview_candidate_gate	not_reviewed_bank	not_runtime	Yossi chat instruction: agreed with advisory recommendations and instructed to mark them as his decisions.	Yossi	2026-04-30	Decision artifact only; no runtime, reviewed-bank, protected-preview packet, or student-facing activation.
bvt_rd_008	simple_question_candidate	svqcl_p4_003	bsvb_p4_001	svqcl_p4_003	Bereishis 4:1	אִישׁ	man	man	noun	classify_basic_part_of_speech	Is "אִישׁ" a noun, verb, or keyword?	noun	noun	approve_for_protected_preview_candidate	Low-risk noun classification candidate.	none	eligible_for_future_protected_preview_candidate_gate	future_protected_preview_candidate_gate_only	clean_eligible_for_future_protected_preview_candidate_gate	not_reviewed_bank	not_runtime	Yossi chat instruction: agreed with advisory recommendations and instructed to mark them as his decisions.	Yossi	2026-04-30	Decision artifact only; no runtime, reviewed-bank, protected-preview packet, or student-facing activation.
bvt_rd_009	simple_question_candidate	svqcl_p4_004	bsvb_p4_002	svqcl_p4_004	Bereishis 4:2	צֹאן	sheep and goats	flock / sheep	noun	translate_hebrew_to_english	What does the word "צֹאן" mean?	sheep and goats	flock / sheep	approve_with_revision	Normalize expected answer to flock / sheep or another single teacher-approved beginner gloss. Do not leave conflict between flock / sheep and sheep and goats.	Normalize expected answer before any future protected-preview candidate gate.	revision_required_before_future_protected_preview_candidate_gate	revision_required_before_future_protected_preview_candidate_gate	revision_required_before_future_gate	not_reviewed_bank	not_runtime	Yossi chat instruction: agreed with advisory recommendations and instructed to mark them as his decisions.	Yossi	2026-04-30	Decision artifact only; no runtime, reviewed-bank, protected-preview packet, or student-facing activation.
bvt_rd_010	simple_question_candidate	svqcl_p4_005	bsvb_p4_002	svqcl_p4_005	Bereishis 4:2	צֹאן	sheep and goats	flock / sheep	noun	find_word_in_pasuk	Find the word "צֹאן" in the pasuk.	צֹאן	צֹאן	approve_for_protected_preview_candidate	Low-risk find-word candidate.	none for find-word candidate; word-level gloss revision remains tracked separately	eligible_for_future_protected_preview_candidate_gate	future_protected_preview_candidate_gate_only	clean_eligible_for_future_protected_preview_candidate_gate	not_reviewed_bank	not_runtime	Yossi chat instruction: agreed with advisory recommendations and instructed to mark them as his decisions.	Yossi	2026-04-30	Decision artifact only; no runtime, reviewed-bank, protected-preview packet, or student-facing activation.
bvt_rd_011	simple_question_candidate	svqcl_p4_006	bsvb_p4_002	svqcl_p4_006	Bereishis 4:2	צֹאן	sheep and goats	flock / sheep	noun	classify_basic_part_of_speech	Is "צֹאן" a noun, verb, or keyword?	noun	noun	approve_for_protected_preview_candidate	Low-risk noun classification candidate.	none for noun classification candidate; word-level gloss revision remains tracked separately	eligible_for_future_protected_preview_candidate_gate	future_protected_preview_candidate_gate_only	clean_eligible_for_future_protected_preview_candidate_gate	not_reviewed_bank	not_runtime	Yossi chat instruction: agreed with advisory recommendations and instructed to mark them as his decisions.	Yossi	2026-04-30	Decision artifact only; no runtime, reviewed-bank, protected-preview packet, or student-facing activation.
bvt_rd_012	simple_question_candidate	svqcl_p4_007	bsvb_p4_005	svqcl_p4_007	Bereishis 4:15	אוֹת	sign	sign	noun	translate_hebrew_to_english	What does the word "אוֹת" mean?	sign	sign	hold_for_follow_up	Hold because although sign is a simple gloss, the pasuk context may be conceptually loaded.	follow-up teacher review required before any question-candidate gate	held_for_follow_up	follow_up_teacher_review_only	held_for_follow_up	not_reviewed_bank	not_runtime	Yossi chat instruction: agreed with advisory recommendations and instructed to mark them as his decisions.	Yossi	2026-04-30	Decision artifact only; no runtime, reviewed-bank, protected-preview packet, or student-facing activation.
