review_group_id,category,hebrew_token_or_pattern,refs_or_count,representative_candidate_ids,source_candidate_files,evidence_summary,recommended_decision,risk_level,yossi_decision,yossi_notes
p2_comp_001,morphology_function_word_source_only,אל,"2 candidates; Bereishis 2:19, Bereishis 2:22","p2_morph_238, p2_morph_292",data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv,Function word morphology is source/context support only for now.,source_only,medium,,
p2_comp_002,morphology_function_word_source_only,אשר,"7 candidates; Bereishis 2:2, Bereishis 2:3, Bereishis 2:8, Bereishis 2:11, Bereishis 2:19, Bereishis 2:22","p2_morph_011, p2_morph_018, p2_morph_032, p2_morph_105, p2_morph_146, p2_morph_245, p2_morph_286",data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv,Function word morphology is source/context support only for now.,source_only,medium,,
p2_comp_003,morphology_function_word_source_only,את,"11 candidates; Bereishis 2:3, Bereishis 2:5, Bereishis 2:6, Bereishis 2:7, Bereishis 2:8, Bereishis 2:10, Bereishis 2:11, Bereishis 2:13 (+3 more refs)","p2_morph_022, p2_morph_068, p2_morph_075, p2_morph_082, p2_morph_103, p2_morph_130, p2_morph_142, p2_morph_163, p2_morph_182, p2_morph_284, +1 more",data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv,Function word morphology is source/context support only for now.,source_only,medium,,
p2_comp_004,morphology_function_word_source_only,כל,"6 candidates; Bereishis 2:6, Bereishis 2:9, Bereishis 2:11, Bereishis 2:13, Bereishis 2:19","p2_morph_076, p2_morph_112, p2_morph_143, p2_morph_164, p2_morph_230, p2_morph_234",data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv,Function word morphology is source/context support only for now.,source_only,medium,,
p2_comp_005,morphology_function_word_source_only,לא,"4 candidates; Bereishis 2:5, Bereishis 2:17, Bereishis 2:18, Bereishis 2:20","p2_morph_059, p2_morph_204, p2_morph_216, p2_morph_264",data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv,Function word morphology is source/context support only for now.,source_only,medium,,
p2_comp_006,morphology_function_word_source_only,מן,"5 candidates; Bereishis 2:6, Bereishis 2:7, Bereishis 2:9, Bereishis 2:19, Bereishis 2:22","p2_morph_072, p2_morph_085, p2_morph_110, p2_morph_228, p2_morph_288",data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv,Function word morphology is source/context support only for now.,source_only,medium,,
p2_comp_007,morphology_function_word_source_only,על,"4 candidates; Bereishis 2:5, Bereishis 2:16, Bereishis 2:21, Bereishis 2:24","p2_morph_063, p2_morph_192, p2_morph_272, p2_morph_309",data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv,Function word morphology is source/context support only for now.,source_only,medium,,
p2_comp_008,morphology_general_deferred,general morphology deferred,"95 candidates; Bereishis 2:1, Bereishis 2:2, Bereishis 2:3, Bereishis 2:4, Bereishis 2:5, Bereishis 2:6, Bereishis 2:7, Bereishis 2:8 (+17 more refs)","p2_morph_003, p2_morph_004, p2_morph_016, p2_morph_029, p2_morph_030, p2_morph_033, p2_morph_035, p2_morph_039, p2_morph_042, p2_morph_045, +85 more",data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv,General morphology row remains review-only; no verb-form or morphology question approval.,needs_follow_up,high,,
p2_comp_009,morphology_prefix_article_or_stem_follow_up,heh/article or stem-sensitive form,"55 candidates; Bereishis 2:1, Bereishis 2:2, Bereishis 2:3, Bereishis 2:4, Bereishis 2:5, Bereishis 2:6, Bereishis 2:7, Bereishis 2:8 (+15 more refs)","p2_morph_002, p2_morph_009, p2_morph_015, p2_morph_024, p2_morph_038, p2_morph_049, p2_morph_055, p2_morph_060, p2_morph_064, p2_morph_069, +45 more",data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv,Heh/article/stem-sensitive morphology; keep row-level follow-up.,needs_follow_up,high,,
p2_comp_010,morphology_suffix_construct_follow_up,suffix / construct / number-sensitive form,"84 candidates; Bereishis 2:1, Bereishis 2:2, Bereishis 2:3, Bereishis 2:4, Bereishis 2:5, Bereishis 2:6, Bereishis 2:7, Bereishis 2:8 (+17 more refs)","p2_morph_005, p2_morph_007, p2_morph_008, p2_morph_010, p2_morph_012, p2_morph_014, p2_morph_017, p2_morph_019, p2_morph_021, p2_morph_026, +74 more",data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv,"Suffix, construct, person/gender/number, or number-sensitive morphology; defer.",needs_follow_up,high,,
p2_comp_011,morphology_verb_form_sensitive,future / jussive / imperfect-looking form,"29 candidates; Bereishis 2:3, Bereishis 2:4, Bereishis 2:5, Bereishis 2:6, Bereishis 2:7, Bereishis 2:8, Bereishis 2:9, Bereishis 2:10 (+10 more refs)","p2_morph_023, p2_morph_037, p2_morph_043, p2_morph_051, p2_morph_057, p2_morph_061, p2_morph_071, p2_morph_080, p2_morph_096, p2_morph_106, +19 more",data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv,Future/jussive/imperfect-looking form; defer pending morphology wording standard.,needs_follow_up,high,,
