sefer	perek	pasuk	ref	hebrew_word_or_phrase	clean_hebrew_no_nikud	source_translation_metsudah	alternate_translation	secondary_translation_koren	source_id	source_version_title	source_license	source_preference	requires_attribution	shoresh	prefixes	suffixes	tense	part_of_speech	dikduk_feature	skill_primary	skill_secondary	skill_id	zekelman_standard	difficulty_level	question_allowed	question_type_allowed	blocked_question_types	runtime_allowed	protected_preview_allowed	reviewed_bank_allowed	extraction_review_status	review_notes	uncertainty_reason	source_files_used
Bereishis	1	1	Bereishis 1:1	בראשית	בראשית	In the beginning Elohim created the heavens and the earth.	in the beginning	IN THE BEGINNING God created the heaven and the earth.	sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	Metsudah Chumash, Metsudah Publications, 2009; Linear Chumash Translation for Most Parshiyos in Torah	CC-BY; trusted_teacher_source	primary_preferred_translation_source	true							phrase_translation	translation_context	phrase_translation			needs_review		all_until_yossi_extraction_accuracy_and_future_question_gate	false	false	false	yossi_extraction_verified	Yossi confirmed extraction accuracy for this source-to-skill row. This is not question approval or runtime approval.	Yossi extraction-accuracy review pending; morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.	data/curriculum_extraction/normalized/linear_chumash_bereishis_1_1_to_1_5_pasuk_segments.seed.jsonl; data/curriculum_extraction/raw_sources/batch_001/linear_chumash_bereishis_1_1_to_1_5_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/pasuk_coming_to_teach_sample_answer_key_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/bacharach_shemos_prefix_suffix_perek_1_1_to_7_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/bacharach_vaeira_textual_skills_perek_6_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md; 7984C_b_01409_pshat_of_torah.pdf; data/source_texts/translations/sefaria/bereishis_english_metsudah.jsonl; data/source_texts/translations/sefaria/bereishis_english_koren.jsonl
Bereishis	1	1	Bereishis 1:1	ברא אלקים	ברא אלקים	In the beginning Elohim created the heavens and the earth.	Hashem created	IN THE BEGINNING God created the heaven and the earth.	sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	Metsudah Chumash, Metsudah Publications, 2009; Linear Chumash Translation for Most Parshiyos in Torah	CC-BY; trusted_teacher_source	primary_preferred_translation_source	true							phrase_translation	translation_context	phrase_translation			needs_review		all_until_yossi_extraction_accuracy_and_future_question_gate	false	false	false	yossi_extraction_verified	Yossi confirmed extraction accuracy for this source-to-skill row. This is not question approval or runtime approval.	Yossi extraction-accuracy review pending; morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.	data/curriculum_extraction/normalized/linear_chumash_bereishis_1_1_to_1_5_pasuk_segments.seed.jsonl; data/curriculum_extraction/raw_sources/batch_001/linear_chumash_bereishis_1_1_to_1_5_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/pasuk_coming_to_teach_sample_answer_key_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/bacharach_shemos_prefix_suffix_perek_1_1_to_7_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/bacharach_vaeira_textual_skills_perek_6_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md; 7984C_b_01409_pshat_of_torah.pdf; data/source_texts/translations/sefaria/bereishis_english_metsudah.jsonl; data/source_texts/translations/sefaria/bereishis_english_koren.jsonl
Bereishis	1	1	Bereishis 1:1	את השמים ואת הארץ	את השמים ואת הארץ	In the beginning Elohim created the heavens and the earth.	the sky and the land	IN THE BEGINNING God created the heaven and the earth.	sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	Metsudah Chumash, Metsudah Publications, 2009; Linear Chumash Translation for Most Parshiyos in Torah	CC-BY; trusted_teacher_source	primary_preferred_translation_source	true							phrase_translation	translation_context	phrase_translation			needs_review		all_until_yossi_extraction_accuracy_and_future_question_gate	false	false	false	yossi_extraction_verified	Yossi confirmed extraction accuracy for this source-to-skill row. This is not question approval or runtime approval.	Yossi extraction-accuracy review pending; morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.	data/curriculum_extraction/normalized/linear_chumash_bereishis_1_1_to_1_5_pasuk_segments.seed.jsonl; data/curriculum_extraction/raw_sources/batch_001/linear_chumash_bereishis_1_1_to_1_5_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/pasuk_coming_to_teach_sample_answer_key_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/bacharach_shemos_prefix_suffix_perek_1_1_to_7_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/bacharach_vaeira_textual_skills_perek_6_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md; 7984C_b_01409_pshat_of_torah.pdf; data/source_texts/translations/sefaria/bereishis_english_metsudah.jsonl; data/source_texts/translations/sefaria/bereishis_english_koren.jsonl
Bereishis	1	2	Bereishis 1:2	והארץ	והארץ	The earth was unformed and desolate, and (there was) darkness over the surface of the abyss. The breath of Elohim hovered above the surface of the water.	and the land	And the earth was without form and void; and darkness was on the face of the deep. And a wind from God moved over the surface of the waters.	sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	Metsudah Chumash, Metsudah Publications, 2009; Linear Chumash Translation for Most Parshiyos in Torah	CC-BY; trusted_teacher_source	primary_preferred_translation_source	true							phrase_translation	translation_context	phrase_translation			needs_review		all_until_yossi_extraction_accuracy_and_future_question_gate	false	false	false	yossi_extraction_verified	Yossi confirmed extraction accuracy for this source-to-skill row. This is not question approval or runtime approval.	Yossi extraction-accuracy review pending; morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.	data/curriculum_extraction/normalized/linear_chumash_bereishis_1_1_to_1_5_pasuk_segments.seed.jsonl; data/curriculum_extraction/raw_sources/batch_001/linear_chumash_bereishis_1_1_to_1_5_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/pasuk_coming_to_teach_sample_answer_key_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/bacharach_shemos_prefix_suffix_perek_1_1_to_7_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/bacharach_vaeira_textual_skills_perek_6_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md; 7984C_b_01409_pshat_of_torah.pdf; data/source_texts/translations/sefaria/bereishis_english_metsudah.jsonl; data/source_texts/translations/sefaria/bereishis_english_koren.jsonl
Bereishis	1	2	Bereishis 1:2	היתה	היתה	The earth was unformed and desolate, and (there was) darkness over the surface of the abyss. The breath of Elohim hovered above the surface of the water.	was	And the earth was without form and void; and darkness was on the face of the deep. And a wind from God moved over the surface of the waters.	sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	Metsudah Chumash, Metsudah Publications, 2009; Linear Chumash Translation for Most Parshiyos in Torah	CC-BY; trusted_teacher_source	primary_preferred_translation_source	true							phrase_translation	translation_context	phrase_translation			needs_review		all_until_yossi_extraction_accuracy_and_future_question_gate	false	false	false	yossi_extraction_verified	Yossi confirmed extraction accuracy for this source-to-skill row. This is not question approval or runtime approval.	Yossi extraction-accuracy review pending; morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.	data/curriculum_extraction/normalized/linear_chumash_bereishis_1_1_to_1_5_pasuk_segments.seed.jsonl; data/curriculum_extraction/raw_sources/batch_001/linear_chumash_bereishis_1_1_to_1_5_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/pasuk_coming_to_teach_sample_answer_key_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/bacharach_shemos_prefix_suffix_perek_1_1_to_7_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/bacharach_vaeira_textual_skills_perek_6_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md; 7984C_b_01409_pshat_of_torah.pdf; data/source_texts/translations/sefaria/bereishis_english_metsudah.jsonl; data/source_texts/translations/sefaria/bereishis_english_koren.jsonl
Bereishis	1	2	Bereishis 1:2	תהו ובהו	תהו ובהו	The earth was unformed and desolate, and (there was) darkness over the surface of the abyss. The breath of Elohim hovered above the surface of the water.	empty and empty	And the earth was without form and void; and darkness was on the face of the deep. And a wind from God moved over the surface of the waters.	sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	Metsudah Chumash, Metsudah Publications, 2009; Linear Chumash Translation for Most Parshiyos in Torah	CC-BY; trusted_teacher_source	primary_preferred_translation_source	true							phrase_translation	translation_context	phrase_translation			needs_review		all_until_yossi_extraction_accuracy_and_future_question_gate	false	false	false	yossi_extraction_verified	Yossi confirmed extraction accuracy for this source-to-skill row. This is not question approval or runtime approval.	Yossi extraction-accuracy review pending; morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.	data/curriculum_extraction/normalized/linear_chumash_bereishis_1_1_to_1_5_pasuk_segments.seed.jsonl; data/curriculum_extraction/raw_sources/batch_001/linear_chumash_bereishis_1_1_to_1_5_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/pasuk_coming_to_teach_sample_answer_key_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/bacharach_shemos_prefix_suffix_perek_1_1_to_7_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/bacharach_vaeira_textual_skills_perek_6_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md; 7984C_b_01409_pshat_of_torah.pdf; data/source_texts/translations/sefaria/bereishis_english_metsudah.jsonl; data/source_texts/translations/sefaria/bereishis_english_koren.jsonl
Bereishis	1	2	Bereishis 1:2	וחשך	וחשך	The earth was unformed and desolate, and (there was) darkness over the surface of the abyss. The breath of Elohim hovered above the surface of the water.	and darkness	And the earth was without form and void; and darkness was on the face of the deep. And a wind from God moved over the surface of the waters.	sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	Metsudah Chumash, Metsudah Publications, 2009; Linear Chumash Translation for Most Parshiyos in Torah	CC-BY; trusted_teacher_source	primary_preferred_translation_source	true							phrase_translation	translation_context	phrase_translation			needs_review		all_until_yossi_extraction_accuracy_and_future_question_gate	false	false	false	yossi_extraction_verified	Yossi confirmed extraction accuracy for this source-to-skill row. This is not question approval or runtime approval.	Yossi extraction-accuracy review pending; morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.	data/curriculum_extraction/normalized/linear_chumash_bereishis_1_1_to_1_5_pasuk_segments.seed.jsonl; data/curriculum_extraction/raw_sources/batch_001/linear_chumash_bereishis_1_1_to_1_5_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/pasuk_coming_to_teach_sample_answer_key_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/bacharach_shemos_prefix_suffix_perek_1_1_to_7_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/bacharach_vaeira_textual_skills_perek_6_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md; 7984C_b_01409_pshat_of_torah.pdf; data/source_texts/translations/sefaria/bereishis_english_metsudah.jsonl; data/source_texts/translations/sefaria/bereishis_english_koren.jsonl
Bereishis	1	2	Bereishis 1:2	על פני תהום	על פני תהום	The earth was unformed and desolate, and (there was) darkness over the surface of the abyss. The breath of Elohim hovered above the surface of the water.	on the face of the deep waters	And the earth was without form and void; and darkness was on the face of the deep. And a wind from God moved over the surface of the waters.	sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	Metsudah Chumash, Metsudah Publications, 2009; Linear Chumash Translation for Most Parshiyos in Torah	CC-BY; trusted_teacher_source	primary_preferred_translation_source	true							phrase_translation	translation_context	phrase_translation			needs_review		all_until_yossi_extraction_accuracy_and_future_question_gate	false	false	false	yossi_extraction_verified	Yossi confirmed extraction accuracy for this source-to-skill row. This is not question approval or runtime approval.	Yossi extraction-accuracy review pending; morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.	data/curriculum_extraction/normalized/linear_chumash_bereishis_1_1_to_1_5_pasuk_segments.seed.jsonl; data/curriculum_extraction/raw_sources/batch_001/linear_chumash_bereishis_1_1_to_1_5_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/pasuk_coming_to_teach_sample_answer_key_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/bacharach_shemos_prefix_suffix_perek_1_1_to_7_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/bacharach_vaeira_textual_skills_perek_6_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md; 7984C_b_01409_pshat_of_torah.pdf; data/source_texts/translations/sefaria/bereishis_english_metsudah.jsonl; data/source_texts/translations/sefaria/bereishis_english_koren.jsonl
Bereishis	1	2	Bereishis 1:2	ורוח אלקים	ורוח אלקים	The earth was unformed and desolate, and (there was) darkness over the surface of the abyss. The breath of Elohim hovered above the surface of the water.	and the wind/spirit of Hashem	And the earth was without form and void; and darkness was on the face of the deep. And a wind from God moved over the surface of the waters.	sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	Metsudah Chumash, Metsudah Publications, 2009; Linear Chumash Translation for Most Parshiyos in Torah	CC-BY; trusted_teacher_source	primary_preferred_translation_source	true							phrase_translation	translation_context	phrase_translation			needs_review		all_until_yossi_extraction_accuracy_and_future_question_gate	false	false	false	yossi_extraction_verified	Yossi confirmed extraction accuracy for this source-to-skill row. This is not question approval or runtime approval.	Yossi extraction-accuracy review pending; morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.	data/curriculum_extraction/normalized/linear_chumash_bereishis_1_1_to_1_5_pasuk_segments.seed.jsonl; data/curriculum_extraction/raw_sources/batch_001/linear_chumash_bereishis_1_1_to_1_5_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/pasuk_coming_to_teach_sample_answer_key_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/bacharach_shemos_prefix_suffix_perek_1_1_to_7_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/bacharach_vaeira_textual_skills_perek_6_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md; 7984C_b_01409_pshat_of_torah.pdf; data/source_texts/translations/sefaria/bereishis_english_metsudah.jsonl; data/source_texts/translations/sefaria/bereishis_english_koren.jsonl
Bereishis	1	2	Bereishis 1:2	מרחפת	מרחפת	The earth was unformed and desolate, and (there was) darkness over the surface of the abyss. The breath of Elohim hovered above the surface of the water.	blowing / hovering	And the earth was without form and void; and darkness was on the face of the deep. And a wind from God moved over the surface of the waters.	sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	Metsudah Chumash, Metsudah Publications, 2009; Linear Chumash Translation for Most Parshiyos in Torah	CC-BY; trusted_teacher_source	primary_preferred_translation_source	true							phrase_translation	translation_context	phrase_translation			needs_review		all_until_yossi_extraction_accuracy_and_future_question_gate	false	false	false	yossi_extraction_verified	Yossi confirmed extraction accuracy for this source-to-skill row. This is not question approval or runtime approval.	Yossi extraction-accuracy review pending; morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.	data/curriculum_extraction/normalized/linear_chumash_bereishis_1_1_to_1_5_pasuk_segments.seed.jsonl; data/curriculum_extraction/raw_sources/batch_001/linear_chumash_bereishis_1_1_to_1_5_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/pasuk_coming_to_teach_sample_answer_key_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/bacharach_shemos_prefix_suffix_perek_1_1_to_7_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/bacharach_vaeira_textual_skills_perek_6_cleaned.md; data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md; 7984C_b_01409_pshat_of_torah.pdf; data/source_texts/translations/sefaria/bereishis_english_metsudah.jsonl; data/source_texts/translations/sefaria/bereishis_english_koren.jsonl
