candidate_id	perek	pasuk_ref	pasuk_number	hebrew_target	hebrew_phrase	source_context	proposed_skill	canonical_skill_id	reason_selected	source_artifact	source_row_id	source_evidence_note	risk_level	risk_flags	duplicate_or_balance_warning	teacher_review_needed	runtime_allowed	reviewed_bank_allowed	protected_preview_allowed	student_facing_allowed	perek_5_activated	perek_6_activated	notes
g2srcdisc_p5_001	5	Bereishis 5:1	1	סֵפֶר	זֶה סֵפֶר תּוֹלְדֹת אָדָם	זֶה סֵפֶר תּוֹלְדֹת אָדָם	basic_noun_recognition	WORD.PART_OF_SPEECH_BASIC	Clear source-text word suitable for teacher review as a noun-recognition target.	data/source_texts/bereishis_hebrew_menukad_taamim.tsv	source_text_bereishis_5_1	Canonical Hebrew source text for Bereishis 5:1 is present; no Perek 5 source-to-skill map found.	medium	source_text_only_no_curriculum_map;teacher_review_required	Do not cluster with other Perek 5 genealogy-opening terms without teacher review.	true	false	false	false	false	false	false	Review-only candidate; not a generated question.
g2srcdisc_p5_002	5	Bereishis 5:1	1	תּוֹלְדֹת	סֵפֶר תּוֹלְדֹת אָדָם	זֶה סֵפֶר תּוֹלְדֹת אָדָם	basic_noun_recognition	WORD.PART_OF_SPEECH_BASIC	Prominent source-text noun form in the Perek 5 opening, teacher-reviewable as source evidence.	data/source_texts/bereishis_hebrew_menukad_taamim.tsv	source_text_bereishis_5_1	Canonical Hebrew source text is present; construct/context should be reviewed before any future packet planning.	medium	construct_or_context_review;source_text_only_no_curriculum_map;teacher_review_required	Do not combine with multiple genealogy/name-chain items in one small review packet.	true	false	false	false	false	false	false	Keep review-only because meaning/context may be more advanced than simple word-type recognition.
g2srcdisc_p5_003	5	Bereishis 5:4	4	בָּנִים	וַיּוֹלֶד בָּנִים וּבָנוֹת	וַיּוֹלֶד בָּנִים וּבָנוֹת	basic_noun_recognition	WORD.PART_OF_SPEECH_BASIC	Repeated clear family noun; useful only if teacher approves spacing and repetition handling.	data/source_texts/bereishis_hebrew_menukad_taamim.tsv	source_text_bereishis_5_4	Canonical Hebrew source text is present; form repeats throughout genealogy pattern.	medium	repeated_genealogy_formula;plural_form;teacher_review_required	Repeated across the Perek 5 genealogy formula; do not cluster.	true	false	false	false	false	false	false	Review-only candidate, not a packet-ready item.
g2srcdisc_p5_004	5	Bereishis 5:4	4	בָנוֹת	בָּנִים וּבָנוֹת	וַיּוֹלֶד בָּנִים וּבָנוֹת	basic_noun_recognition	WORD.PART_OF_SPEECH_BASIC	Clear family noun paired with בָּנִים; source-backed and teacher-reviewable.	data/source_texts/bereishis_hebrew_menukad_taamim.tsv	source_text_bereishis_5_4	Canonical Hebrew source text is present; repeated genealogy formula requires balance review.	medium	repeated_genealogy_formula;plural_form;teacher_review_required	Repeated with בָּנִים across Perek 5; use at most one such pair in a future review packet.	true	false	false	false	false	false	false	Review-only candidate; no student-facing question created.
g2srcdisc_p5_005	5	Bereishis 5:28	28	בֵּן	וַיּוֹלֶד בֵּן	וַיּוֹלֶד בֵּן	basic_noun_recognition	WORD.PART_OF_SPEECH_BASIC	Short clear noun in source text, less cluttered than many name-chain rows.	data/source_texts/bereishis_hebrew_menukad_taamim.tsv	source_text_bereishis_5_28	Canonical Hebrew source text is present; teacher should confirm usefulness versus genealogy repetition.	low	source_text_only_no_curriculum_map;teacher_review_required	Related to repeated family vocabulary; avoid with בָּנִים/בָנוֹת in a tiny packet.	true	false	false	false	false	false	false	Potentially cleaner Perek 5 noun candidate, still review-only.
g2srcdisc_p6_001	6	Bereishis 6:3	3	בָשָׂר	הוּא בָשָׂר	בְּשַׁגַּם הוּא בָשָׂר	basic_noun_recognition	WORD.PART_OF_SPEECH_BASIC	Clear repeated noun-like target in canonical source text.	data/source_texts/bereishis_hebrew_menukad_taamim.tsv	source_text_bereishis_6_3	Appears in Perek 6:3 and recurs later; review-only because no source-to-skill map exists.	medium	repeated_token_cluster;source_text_only_no_curriculum_map;teacher_review_required	Repeated in Perek 6:3, 6:12, 6:13, 6:17, and 6:19; do not cluster.	true	false	false	false	false	false	false	Review-only source-discovery candidate.
g2srcdisc_p6_002	6	Bereishis 6:11	11	חָמָס	הָאָרֶץ חָמָס	וַתִּמָּלֵא הָאָרֶץ חָמָס	basic_noun_recognition	WORD.PART_OF_SPEECH_BASIC	Clear source-text target, but should stay teacher-review-only due to meaning/context weight.	data/source_texts/bereishis_hebrew_menukad_taamim.tsv	source_text_bereishis_6_11	Canonical Hebrew source text is present; semantic/context review required before any later use.	medium	context_heavy_meaning;source_text_only_no_curriculum_map;teacher_review_required	Related context appears again in 6:13; avoid creating multiple context-heavy items together.	true	false	false	false	false	false	false	Review-only; not a translation or moral-comprehension item.
g2srcdisc_p6_003	6	Bereishis 6:14	14	תֵּבַת	תֵּבַת עֲצֵי־גֹפֶר	עֲשֵׂה לְךָ תֵּבַת עֲצֵי־גֹפֶר	basic_noun_recognition	WORD.PART_OF_SPEECH_BASIC	Concrete ark-related noun target, but construct/context requires teacher review.	data/source_texts/bereishis_hebrew_menukad_taamim.tsv	source_text_bereishis_6_14	Canonical Hebrew source text is present; form is source-backed but not packet-ready.	medium	construct_or_context_review;repeated_teivah_cluster;teacher_review_required	תֵּבָה forms recur in 6:14-6:19; avoid clustering.	true	false	false	false	false	false	false	Review-only source-discovery candidate; no protected-preview item created.
g2srcdisc_p6_004	6	Bereishis 6:14	14	קִנִּים	קִנִּים תַּעֲשֶׂה	קִנִּים תַּעֲשֶׂה אֶת־הַתֵּבָה	basic_noun_recognition	WORD.PART_OF_SPEECH_BASIC	Concrete source-text noun form, but ark-building vocabulary needs teacher review.	data/source_texts/bereishis_hebrew_menukad_taamim.tsv	source_text_bereishis_6_14	Canonical Hebrew source text is present; source-only until reviewed.	medium	technical_ark_vocabulary;plural_form;teacher_review_required	Do not combine too many ark-construction terms in one small packet.	true	false	false	false	false	false	false	Review-only candidate; not a vocabulary translation item.
g2srcdisc_p6_005	6	Bereishis 6:16	16	צֹהַר	צֹהַר תַּעֲשֶׂה	צֹהַר תַּעֲשֶׂה לַתֵּבָה	basic_noun_recognition	WORD.PART_OF_SPEECH_BASIC	Short concrete source-text target, suitable for teacher-review-only inventory.	data/source_texts/bereishis_hebrew_menukad_taamim.tsv	source_text_bereishis_6_16	Canonical Hebrew source text is present; meaning/source review needed before any later gate.	medium	translation_or_alias_review;technical_ark_vocabulary;teacher_review_required	Do not cluster with פֶתַח, תֵּבָה, and other ark-building terms in a tiny packet.	true	false	false	false	false	false	false	Review-only source-discovery candidate.
