candidate_id	source_map_file	source_row_id	ref	hebrew_phrase	token_index	hebrew_token	clean_hebrew_no_nikud	proposed_translation	proposed_shoresh_or_keyword	proposed_vocabulary_category	first_150_match	first_150_entry_id	evidence_source_id	evidence_source_type	evidence_note	confidence	enrichment_review_status	yossi_decision	yossi_notes	question_allowed	protected_preview_allowed	runtime_allowed	reviewed_bank_allowed
vocab_b1_24_r002_t002	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_002	Bereishis 1:24	תּוֹצֵא הָאָרֶץ	2	הארץ	ארץ	earth/land	ארץ	noun_vocabulary	yes	first150_078	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_002; data/word_bank.json:הארץ	verified_source_to_skill_map; word_bank	Token-level land vocabulary candidate with local seed support.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r003_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_003	Bereishis 1:24	נֶפֶשׁ חַיָּה לְמִינָהּ	1	נפש	נפש	living being/soul	נפש	noun_vocabulary	yes	first150_101	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_003; data/word_bank.json:נפש	verified_source_to_skill_map; word_bank	High-value vocabulary token for review.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r003_t002	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_003	Bereishis 1:24	נֶפֶשׁ חַיָּה לְמִינָהּ	2	חיה	חיה	living creature	חיה	noun_vocabulary	yes	first150_050	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_003; data/word_bank.json:חיה	verified_source_to_skill_map; word_bank	Creature vocabulary token retained for review.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r004_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_004	Bereishis 1:24	בְּהֵמָה וָרֶמֶשׂ וְחַיְתוֹ אֶרֶץ לְמִינָהּ	1	בהמה	בהמה	beast/cattle	בהמה	noun_vocabulary	no		data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_004; data/word_bank.json:בהמה	verified_source_to_skill_map; word_bank	Useful noun vocabulary candidate; contextual support local.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r004_t002	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_004	Bereishis 1:24	בְּהֵמָה וָרֶמֶשׂ וְחַיְתוֹ אֶרֶץ לְמִינָהּ	3	רמש	רמש	creeping thing	רמש	noun_vocabulary	no		data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_004; data/word_bank.json:רמש	verified_source_to_skill_map; word_bank	Token-level vocabulary candidate from source-map phrase.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r004_t003	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_004	Bereishis 1:24	בְּהֵמָה וָרֶמֶשׂ וְחַיְתוֹ אֶרֶץ לְמִינָהּ	5	ארץ	ארץ	earth/land	ארץ	noun_vocabulary	yes	first150_078	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_004; data/word_bank.json:ארץ	verified_source_to_skill_map; word_bank	Repeated high-value noun token.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r007_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_007	Bereishis 1:25	אֶת חַיַּת הָאָרֶץ לְמִינָהּ	2	חית	חיה	wild animal	חיה	noun_vocabulary	yes	first150_050	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_007; data/word_bank.json:חית	verified_source_to_skill_map; word_bank	Construct/surface form needs stronger standalone evidence.	low	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: Construct/surface form needs stronger standalone evidence.	needs_review	false	false	false
vocab_b1_24_r007_t002	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_007	Bereishis 1:25	אֶת חַיַּת הָאָרֶץ לְמִינָהּ	3	הארץ	ארץ	earth/land	ארץ	noun_vocabulary	yes	first150_078	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_007; data/word_bank.json:הארץ	verified_source_to_skill_map; word_bank	Stable vocabulary token.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r008_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_008	Bereishis 1:25	וְאֶת הַבְּהֵמָה לְמִינָהּ	3	הבהמה	בהמה	beast/cattle	בהמה	noun_vocabulary	no		data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_008; data/word_bank.json:הבהמה	verified_source_to_skill_map; word_bank	Stable noun token from repeated phrase.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r009_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_009	Bereishis 1:25	וְאֵת כָּל רֶמֶשׂ הָאֲדָמָה לְמִינֵהוּ	3	רמש	רמש	creeping thing	רמש	noun_vocabulary	no		data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_009; data/word_bank.json:רמש	verified_source_to_skill_map; word_bank	Repeated noun token candidate.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
