row_id,ref,hebrew_word_or_phrase,source_translation_metsudah,secondary_translation_koren,skill_primary,skill_secondary,zekelman_standard,current_review_status,uncertainty_reason,issue_flag,yossi_decision,yossi_notes
S2S-BER-1-1-1-5-001,Bereishis 1:1,בראשית,In the beginning Elohim created the heavens and the earth.,IN THE BEGINNING God created the heaven and the earth.,phrase_translation,translation_context,,pending_yossi_extraction_accuracy_pass,"Morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.",uncertainty_reason; standards_mapping_uncertain,,
S2S-BER-1-1-1-5-002,Bereishis 1:1,ברא אלקים,In the beginning Elohim created the heavens and the earth.,IN THE BEGINNING God created the heaven and the earth.,phrase_translation,translation_context,,pending_yossi_extraction_accuracy_pass,"Morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.",uncertainty_reason; standards_mapping_uncertain,,
S2S-BER-1-1-1-5-003,Bereishis 1:1,את השמים ואת הארץ,In the beginning Elohim created the heavens and the earth.,IN THE BEGINNING God created the heaven and the earth.,phrase_translation,translation_context,,pending_yossi_extraction_accuracy_pass,"Morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.",uncertainty_reason; standards_mapping_uncertain,,
S2S-BER-1-1-1-5-004,Bereishis 1:2,והארץ,"The earth was unformed and desolate, and (there was) darkness over the surface of the abyss. The breath of Elohim hovered above the surface of the water.",And the earth was without form and void; and darkness was on the face of the deep. And a wind from God moved over the surface of the waters.,phrase_translation,translation_context,,pending_yossi_extraction_accuracy_pass,"Morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.",uncertainty_reason; standards_mapping_uncertain,,
S2S-BER-1-1-1-5-005,Bereishis 1:2,היתה,"The earth was unformed and desolate, and (there was) darkness over the surface of the abyss. The breath of Elohim hovered above the surface of the water.",And the earth was without form and void; and darkness was on the face of the deep. And a wind from God moved over the surface of the waters.,phrase_translation,translation_context,,pending_yossi_extraction_accuracy_pass,"Morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.",uncertainty_reason; standards_mapping_uncertain,,
S2S-BER-1-1-1-5-006,Bereishis 1:2,תהו ובהו,"The earth was unformed and desolate, and (there was) darkness over the surface of the abyss. The breath of Elohim hovered above the surface of the water.",And the earth was without form and void; and darkness was on the face of the deep. And a wind from God moved over the surface of the waters.,phrase_translation,translation_context,,pending_yossi_extraction_accuracy_pass,"Morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.",uncertainty_reason; standards_mapping_uncertain,,
S2S-BER-1-1-1-5-007,Bereishis 1:2,וחשך,"The earth was unformed and desolate, and (there was) darkness over the surface of the abyss. The breath of Elohim hovered above the surface of the water.",And the earth was without form and void; and darkness was on the face of the deep. And a wind from God moved over the surface of the waters.,phrase_translation,translation_context,,pending_yossi_extraction_accuracy_pass,"Morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.",uncertainty_reason; standards_mapping_uncertain,,
S2S-BER-1-1-1-5-008,Bereishis 1:2,על פני תהום,"The earth was unformed and desolate, and (there was) darkness over the surface of the abyss. The breath of Elohim hovered above the surface of the water.",And the earth was without form and void; and darkness was on the face of the deep. And a wind from God moved over the surface of the waters.,phrase_translation,translation_context,,pending_yossi_extraction_accuracy_pass,"Morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.",uncertainty_reason; standards_mapping_uncertain,,
S2S-BER-1-1-1-5-009,Bereishis 1:2,ורוח אלקים,"The earth was unformed and desolate, and (there was) darkness over the surface of the abyss. The breath of Elohim hovered above the surface of the water.",And the earth was without form and void; and darkness was on the face of the deep. And a wind from God moved over the surface of the waters.,phrase_translation,translation_context,,pending_yossi_extraction_accuracy_pass,"Morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.",uncertainty_reason; standards_mapping_uncertain,,
S2S-BER-1-1-1-5-010,Bereishis 1:2,מרחפת,"The earth was unformed and desolate, and (there was) darkness over the surface of the abyss. The breath of Elohim hovered above the surface of the water.",And the earth was without form and void; and darkness was on the face of the deep. And a wind from God moved over the surface of the waters.,phrase_translation,translation_context,,pending_yossi_extraction_accuracy_pass,"Morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.",uncertainty_reason; standards_mapping_uncertain,,
