preview_gate_candidate_id	draft_item_id	pre_generation_review_id	ref	hebrew_token	hebrew_phrase	approved_family	draft_prompt	answer_choices	expected_answer	correct_answer	explanation	source_evidence_note	draft_review_status	protected_preview_gate_review_status	hebrew_rendering_review_status	answer_key_review_status	distractor_review_status	context_display_review_status	preview_gate_candidate_status	protected_preview_candidate_planning_allowed	protected_preview_allowed	reviewed_bank_allowed	runtime_allowed	student_facing_allowed	yossi_preview_gate_decision	yossi_preview_gate_notes	cautions
ppgate_b1_001	cdraft_b1_001	preg_b1_002	Bereishis 1:6	רקיע	יְהִי רָקִיעַ	vocabulary_meaning	In this phrase, what does רקיע mean?	expanse / firmament|fruit|night|bird	expanse / firmament	expanse / firmament	"Teacher-review draft: רקיע is used here with the basic meaning ""expanse"" or ""firmament,"" depending on class vocabulary."	Built from approved row-level vocabulary candidate; answer key still requires Yossi review.	yossi_draft_approved_after_revision	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	yossi_approved_for_protected_preview_candidate_planning	true	false	false	false	false	approve_for_protected_preview_candidate	Approved for future protected-preview candidate planning only. This is not protected-preview release approval, reviewed-bank approval, runtime approval, or student-facing approval.	No special caution beyond required review gates. Teacher-review-only controlled draft; not protected-preview approved. Protected-preview planning-gate review only; not protected-preview approved.
ppgate_b1_002	cdraft_b1_002	preg_b1_003	Bereishis 1:11	דשא	תַּדְשֵׁא הָאָרֶץ דֶּשֶׁא	vocabulary_meaning	In this phrase, what does דשא mean?	grass|fruit|bird|night	grass	grass	Teacher-review draft: דשא is used here with the basic meaning 'grass'.	Built from approved row-level vocabulary candidate; answer key still requires Yossi review.	yossi_draft_approved	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	yossi_approved_for_protected_preview_candidate_planning	true	false	false	false	false	approve_for_protected_preview_candidate	Approved for future protected-preview candidate planning only. This is not protected-preview release approval, reviewed-bank approval, runtime approval, or student-facing approval.	No special caution beyond required review gates. Teacher-review-only controlled draft; not protected-preview approved. Protected-preview planning-gate review only; not protected-preview approved.
ppgate_b1_003	cdraft_b1_003	preg_b1_004	Bereishis 1:11	פרי	עֵץ פְּרִי עֹשֶׂה פְּרִי	vocabulary_meaning	In this phrase, what does פרי mean?	fruit|grass|lights|animal	fruit	fruit	Teacher-review draft: פרי is used here with the basic meaning 'fruit'.	Built from approved row-level vocabulary candidate; answer key still requires Yossi review.	yossi_draft_approved	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	yossi_approved_for_protected_preview_candidate_planning	true	false	false	false	false	approve_for_protected_preview_candidate	Approved for future protected-preview candidate planning only. This is not protected-preview release approval, reviewed-bank approval, runtime approval, or student-facing approval.	No special caution beyond required review gates. Teacher-review-only controlled draft; not protected-preview approved. Protected-preview planning-gate review only; not protected-preview approved.
ppgate_b1_004	cdraft_b1_004	preg_b1_005	Bereishis 1:14	מאורות	יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם	vocabulary_meaning	In this phrase, what does מאורות mean?	lights / luminaries|night|seed|bird	lights / luminaries	lights / luminaries	Teacher-review draft: מאורות means lights/luminaries in this phrase.	Built from approved row-level vocabulary candidate; answer key still requires Yossi review.	yossi_draft_approved_after_revision	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	yossi_approved_for_protected_preview_candidate_planning	true	false	false	false	false	approve_for_protected_preview_candidate	Approved for future protected-preview candidate planning only. This is not protected-preview release approval, reviewed-bank approval, runtime approval, or student-facing approval.	No special caution beyond required review gates. Teacher-review-only controlled draft; not protected-preview approved. Protected-preview planning-gate review only; not protected-preview approved.
ppgate_b1_005	cdraft_b1_005	preg_b1_006	Bereishis 1:14	לילה	לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה	vocabulary_meaning	In this phrase, what does לילה mean?	night|day|fruit|grass	night	night	Teacher-review draft: לילה is used here with the basic meaning 'night'.	Built from approved row-level vocabulary candidate; answer key still requires Yossi review.	yossi_draft_approved	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	yossi_approved_for_protected_preview_candidate_planning	true	false	false	false	false	approve_for_protected_preview_candidate	Approved for future protected-preview candidate planning only. This is not protected-preview release approval, reviewed-bank approval, runtime approval, or student-facing approval.	No special caution beyond required review gates. Teacher-review-only controlled draft; not protected-preview approved. Protected-preview planning-gate review only; not protected-preview approved.
ppgate_b1_006	cdraft_b1_006	preg_b1_007	Bereishis 1:20	שרץ	שֶׁרֶץ נֶפֶשׁ חַיָּה	vocabulary_meaning	In this phrase, what does שרץ mean?	swarming creature / creeping creature|fruit|light|land	swarming creature / creeping creature	swarming creature / creeping creature	"Teacher-review draft: שרץ is used here with the basic meaning ""swarming creature"" or ""creeping creature,"" depending on class vocabulary."	Built from approved row-level vocabulary candidate; answer key still requires Yossi review.	yossi_draft_approved_after_revision	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	yossi_approved_for_protected_preview_candidate_planning	true	false	false	false	false	approve_for_protected_preview_candidate	Approved for future protected-preview candidate planning only. This is not protected-preview release approval, reviewed-bank approval, runtime approval, or student-facing approval.	No special caution beyond required review gates. Teacher-review-only controlled draft; not protected-preview approved. Protected-preview planning-gate review only; not protected-preview approved.
ppgate_b1_007	cdraft_b1_007	preg_b1_008	Bereishis 1:20	עוף	וְעוֹף יְעוֹפֵף עַל הָאָרֶץ	vocabulary_meaning	In this phrase, what does עוף mean?	bird|animal|fruit|night	bird	bird	Teacher-review draft: עוף is used here with the basic meaning 'bird'.	Built from approved row-level vocabulary candidate; answer key still requires Yossi review.	yossi_draft_approved	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	yossi_approved_for_protected_preview_candidate_planning	true	false	false	false	false	approve_for_protected_preview_candidate	Approved for future protected-preview candidate planning only. This is not protected-preview release approval, reviewed-bank approval, runtime approval, or student-facing approval.	No special caution beyond required review gates. Teacher-review-only controlled draft; not protected-preview approved. Protected-preview planning-gate review only; not protected-preview approved.
ppgate_b1_008	cdraft_b1_008	preg_b1_009	Bereishis 1:24	בהמה	בְּהֵמָה וָרֶמֶשׂ וְחַיְתוֹ אֶרֶץ לְמִינָהּ	vocabulary_meaning	In this phrase, what does בהמה mean?	animal / beast / domesticated animal|bird|grass|seed	animal / beast / domesticated animal	animal / beast / domesticated animal	"Teacher-review draft: בהמה is used here with the basic meaning ""animal"" or ""beast""; teacher review should confirm whether to teach this as domesticated animal in contrast to חיה."	Built from approved row-level vocabulary candidate; answer key still requires Yossi review.	yossi_draft_approved_after_revision	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	yossi_approved_for_protected_preview_candidate_planning	true	false	false	false	false	approve_for_protected_preview_candidate	Approved for future protected-preview candidate planning only. This is not protected-preview release approval, reviewed-bank approval, runtime approval, or student-facing approval.	No special caution beyond required review gates. Teacher-review-only controlled draft; not protected-preview approved. Protected-preview planning-gate review only; not protected-preview approved.
ppgate_b1_009	cdraft_b1_009	preg_b1_011	Bereishis 1:31	טוב	וְהִנֵּה טוֹב מְאֹד	vocabulary_meaning	In this phrase, what does טוב mean?	good|night|fruit|bird	good	good	Teacher-review draft: טוב is used here with the basic meaning 'good'.	Built from approved row-level vocabulary candidate; answer key still requires Yossi review.	yossi_draft_approved	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	yossi_approved_for_protected_preview_candidate_planning	true	false	false	false	false	approve_for_protected_preview_candidate	Approved for future protected-preview candidate planning only. This is not protected-preview release approval, reviewed-bank approval, runtime approval, or student-facing approval.	No special caution beyond required review gates. Teacher-review-only controlled draft; not protected-preview approved. Protected-preview planning-gate review only; not protected-preview approved.
ppgate_b1_010	cdraft_b1_010	preg_b1_012	Bereishis 1:1	ארץ	את השמים ואת הארץ	basic_noun_recognition	What type of word is ארץ?	noun|action word|describing word|prefix	noun	noun	Teacher-review draft: ארץ is treated as a simple noun/object/person/place/thing-level recognition item.	Built from approved row-level basic noun recognition candidate; no advanced grammar label is approved.	yossi_draft_approved	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	yossi_approved_for_protected_preview_candidate_planning	true	false	false	false	false	approve_for_protected_preview_candidate	Approved for future protected-preview candidate planning only. This is not protected-preview release approval, reviewed-bank approval, runtime approval, or student-facing approval.	No special caution beyond required review gates. Future exact wording must stay simple: noun/object/person/place/thing only; no advanced grammar labels or construct/suffix/adjective/advanced part-of-speech claims. Teacher-review-only controlled draft; not protected-preview approved. Protected-preview planning-gate review only; not protected-preview approved.
