pre_generation_review_id,ref,hebrew_token,hebrew_phrase,approved_family,non_student_facing_wording_pattern,row_level_cautions,exact_wording_review_status,answer_key_language_review_status,distractor_constraints_review_status,context_display_review_status,hebrew_rendering_review_status,protected_preview_gate_review_status,yossi_exact_wording_decision,yossi_answer_key_decision,yossi_distractor_decision,yossi_context_display_decision,yossi_hebrew_rendering_decision,yossi_protected_preview_gate_decision,yossi_notes
preg_b1_001,Bereishis 1:2,המים,על פני המים,vocabulary_meaning,"In this phrase, what does {hebrew_token} mean?",Answer-key review must decide base meaning vs article-inclusive meaning. Answer-key review must decide base meaning vs article-inclusive meaning.,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,"Answer-key review must decide whether the expected meaning for המים is base meaning only, article-inclusive meaning, or acceptable variants. This row must not be used for draft generation until the revision is applied."
preg_b1_002,Bereishis 1:6,רקיע,יְהִי רָקִיעַ,vocabulary_meaning,"In this phrase, what does {hebrew_token} mean?",No special caution beyond required review gates.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
preg_b1_003,Bereishis 1:11,דשא,תַּדְשֵׁא הָאָרֶץ דֶּשֶׁא,vocabulary_meaning,"In this phrase, what does {hebrew_token} mean?",No special caution beyond required review gates.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
preg_b1_004,Bereishis 1:11,פרי,עֵץ פְּרִי עֹשֶׂה פְּרִי,vocabulary_meaning,"In this phrase, what does {hebrew_token} mean?",No special caution beyond required review gates.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
preg_b1_005,Bereishis 1:14,מאורות,יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם,vocabulary_meaning,"In this phrase, what does {hebrew_token} mean?",No special caution beyond required review gates.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
preg_b1_006,Bereishis 1:14,לילה,לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה,vocabulary_meaning,"In this phrase, what does {hebrew_token} mean?",No special caution beyond required review gates.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
preg_b1_007,Bereishis 1:20,שרץ,שֶׁרֶץ נֶפֶשׁ חַיָּה,vocabulary_meaning,"In this phrase, what does {hebrew_token} mean?",No special caution beyond required review gates.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
preg_b1_008,Bereishis 1:20,עוף,וְעוֹף יְעוֹפֵף עַל הָאָרֶץ,vocabulary_meaning,"In this phrase, what does {hebrew_token} mean?",No special caution beyond required review gates.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
preg_b1_009,Bereishis 1:24,בהמה,בְּהֵמָה וָרֶמֶשׂ וְחַיְתוֹ אֶרֶץ לְמִינָהּ,vocabulary_meaning,"In this phrase, what does {hebrew_token} mean?",No special caution beyond required review gates.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
preg_b1_010,Bereishis 1:25,האדמה,וְאֵת כָּל רֶמֶשׂ הָאֲדָמָה לְמִינֵהוּ,vocabulary_meaning,"In this phrase, what does {hebrew_token} mean?",Answer-key review must decide base meaning vs article-inclusive meaning. Answer-key review must decide base meaning vs article-inclusive meaning.,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,"Answer-key review must decide whether the expected meaning for האדמה is base meaning only, article-inclusive meaning, or acceptable variants. This row must not be used for draft generation until the revision is applied."
