inventory_id	source_area	source_file	parsha	perek	pasuk_start	pasuk_end	pasuk_ref	skill	subskill	question_type	standard_id	source_status	extraction_status	teacher_review_status	protected_preview_status	reviewed_bank_status	runtime_status	evidence_artifacts	blocker_reason	safe_next_use	recommended_next_gate
ceinv_001	active_runtime_scope	assessment_scope.py	Bereishis	1-3	1	24	Bereishis 1:1-3:24					active parsed local corpus					runtime_active	assessment_scope.py; data/corpus_manifest.json		runtime_active_existing_only	do_not_expand_in_planning_gate
ceinv_002	source_text	data/source_texts/bereishis_hebrew_menukad_taamim.tsv	Bereishis	1-50	1	26	Bereishis 1:1-50:26					canonical_source_available					source_truth_only		source text support is not content approval	source_support_only	candidate_selection_requires_review_artifacts
ceinv_003	verified_source_skill_map	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	Bereishis	1	14	23		phrase_translation				source_to_skill_map_present	verified_or_review_tracked	map_verification_artifacts_present	protected_preview_allowed_rows=0	reviewed_bank_allowed_rows=0	runtime_allowed_rows=0	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	verification is not question approval	extraction_verified_planning_only	build_or_review_candidate_packet
ceinv_004	verified_source_skill_map	data/verified_source_skill_maps/bereishis_1_1_to_1_5_source_to_skill_map.tsv	Bereishis	1	1	5		phrase_translation				source_to_skill_map_present	verified_or_review_tracked	map_verification_artifacts_present	protected_preview_allowed_rows=0	reviewed_bank_allowed_rows=0	runtime_allowed_rows=0	data/verified_source_skill_maps/bereishis_1_1_to_1_5_source_to_skill_map.tsv	verification is not question approval	extraction_verified_planning_only	build_or_review_candidate_packet
ceinv_005	verified_source_skill_map	data/verified_source_skill_maps/bereishis_1_1_to_3_24_metsudah_skill_map.tsv	Bereishis	1-3	1	24		phrase_translation				source_to_skill_map_present	verified_or_review_tracked	map_verification_artifacts_present	protected_preview_allowed_rows=0	reviewed_bank_allowed_rows=0	runtime_allowed_rows=0	data/verified_source_skill_maps/bereishis_1_1_to_3_24_metsudah_skill_map.tsv	verification is not question approval	extraction_verified_planning_only	build_or_review_candidate_packet
ceinv_006	verified_source_skill_map	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	Bereishis	1	24	31		phrase_translation				source_to_skill_map_present	verified_or_review_tracked	map_verification_artifacts_present	protected_preview_allowed_rows=0	reviewed_bank_allowed_rows=0	runtime_allowed_rows=0	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	verification is not question approval	extraction_verified_planning_only	build_or_review_candidate_packet
ceinv_007	verified_source_skill_map	data/verified_source_skill_maps/bereishis_1_6_to_1_13_source_to_skill_map.tsv	Bereishis	1	6	13		phrase_translation				source_to_skill_map_present	verified_or_review_tracked	map_verification_artifacts_present	protected_preview_allowed_rows=0	reviewed_bank_allowed_rows=0	runtime_allowed_rows=0	data/verified_source_skill_maps/bereishis_1_6_to_1_13_source_to_skill_map.tsv	verification is not question approval	extraction_verified_planning_only	build_or_review_candidate_packet
ceinv_008	verified_source_skill_map	data/verified_source_skill_maps/bereishis_2_18_to_2_25_source_to_skill_map.tsv	Bereishis	2	18	25		phrase_translation				source_to_skill_map_present	verified_or_review_tracked	map_verification_artifacts_present	protected_preview_allowed_rows=0	reviewed_bank_allowed_rows=0	runtime_allowed_rows=0	data/verified_source_skill_maps/bereishis_2_18_to_2_25_source_to_skill_map.tsv	verification is not question approval	extraction_verified_planning_only	build_or_review_candidate_packet
ceinv_009	verified_source_skill_map	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	Bereishis	2	1	3		phrase_translation				source_to_skill_map_present	verified_or_review_tracked	map_verification_artifacts_present	protected_preview_allowed_rows=0	reviewed_bank_allowed_rows=0	runtime_allowed_rows=0	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	verification is not question approval	extraction_verified_planning_only	build_or_review_candidate_packet
ceinv_010	verified_source_skill_map	data/verified_source_skill_maps/bereishis_2_4_to_2_17_source_to_skill_map.tsv	Bereishis	2	4	17		phrase_translation				source_to_skill_map_present	verified_or_review_tracked	map_verification_artifacts_present	protected_preview_allowed_rows=0	reviewed_bank_allowed_rows=0	runtime_allowed_rows=0	data/verified_source_skill_maps/bereishis_2_4_to_2_17_source_to_skill_map.tsv	verification is not question approval	extraction_verified_planning_only	build_or_review_candidate_packet
