pre_generation_review_id	exact_template_candidate_id	skeleton_candidate_id	input_candidate_id	audit_id	ref	hebrew_token	hebrew_phrase	approved_family	non_student_facing_wording_pattern	required_placeholders	family_policy_status	exact_wording_review_status	answer_key_language_review_status	distractor_constraints_review_status	context_display_review_status	hebrew_rendering_review_status	protected_preview_gate_review_status	row_level_generation_status	final_question_allowed	answer_choices_allowed	answer_key_allowed	distractors_allowed	protected_preview_allowed	reviewed_bank_allowed	runtime_allowed	student_facing_allowed	row_level_cautions	yossi_exact_wording_decision	yossi_answer_key_decision	yossi_distractor_decision	yossi_context_display_decision	yossi_hebrew_rendering_decision	yossi_protected_preview_gate_decision	yossi_notes
preg_b1_001	extmpl_b1_001	tskel_b1_001	ppplan_b1_001	qelig_b1_010	Bereishis 1:2	המים	על פני המים	vocabulary_meaning	In this phrase, what does {hebrew_token} mean?	hebrew_token|hebrew_phrase|approved_meaning|context_display	yossi_exact_wording_family_approved	approve_with_revision	approve_with_revision	approve_with_revision	approve_with_revision	approve_with_revision	approve_with_revision	blocked_pending_revision	false	false	false	false	false	false	false	false	Answer-key review must decide base meaning vs article-inclusive meaning. Answer-key review must decide base meaning vs article-inclusive meaning.	approve_with_revision	approve_with_revision	approve_with_revision	approve_with_revision	approve_with_revision	approve_with_revision	Answer-key review must decide whether the expected meaning for המים is base meaning only, article-inclusive meaning, or acceptable variants. This row must not be used for draft generation until the revision is applied.
preg_b1_002	extmpl_b1_002	tskel_b1_002	ppplan_b1_002	qelig_b1_035	Bereishis 1:6	רקיע	יְהִי רָקִיעַ	vocabulary_meaning	In this phrase, what does {hebrew_token} mean?	hebrew_token|hebrew_phrase|approved_meaning|context_display	yossi_exact_wording_family_approved	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approved_for_controlled_draft_generation	false	false	false	false	false	false	false	false	No special caution beyond required review gates.	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
preg_b1_003	extmpl_b1_003	tskel_b1_003	ppplan_b1_003	qelig_b1_038	Bereishis 1:11	דשא	תַּדְשֵׁא הָאָרֶץ דֶּשֶׁא	vocabulary_meaning	In this phrase, what does {hebrew_token} mean?	hebrew_token|hebrew_phrase|approved_meaning|context_display	yossi_exact_wording_family_approved	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approved_for_controlled_draft_generation	false	false	false	false	false	false	false	false	No special caution beyond required review gates.	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
preg_b1_004	extmpl_b1_004	tskel_b1_004	ppplan_b1_004	qelig_b1_040	Bereishis 1:11	פרי	עֵץ פְּרִי עֹשֶׂה פְּרִי	vocabulary_meaning	In this phrase, what does {hebrew_token} mean?	hebrew_token|hebrew_phrase|approved_meaning|context_display	yossi_exact_wording_family_approved	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approved_for_controlled_draft_generation	false	false	false	false	false	false	false	false	No special caution beyond required review gates.	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
preg_b1_005	extmpl_b1_005	tskel_b1_005	ppplan_b1_005	qelig_b1_085	Bereishis 1:14	מאורות	יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם	vocabulary_meaning	In this phrase, what does {hebrew_token} mean?	hebrew_token|hebrew_phrase|approved_meaning|context_display	yossi_exact_wording_family_approved	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approved_for_controlled_draft_generation	false	false	false	false	false	false	false	false	No special caution beyond required review gates.	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
preg_b1_006	extmpl_b1_006	tskel_b1_006	ppplan_b1_006	qelig_b1_089	Bereishis 1:14	לילה	לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה	vocabulary_meaning	In this phrase, what does {hebrew_token} mean?	hebrew_token|hebrew_phrase|approved_meaning|context_display	yossi_exact_wording_family_approved	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approved_for_controlled_draft_generation	false	false	false	false	false	false	false	false	No special caution beyond required review gates.	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
preg_b1_007	extmpl_b1_007	tskel_b1_007	ppplan_b1_007	qelig_b1_098	Bereishis 1:20	שרץ	שֶׁרֶץ נֶפֶשׁ חַיָּה	vocabulary_meaning	In this phrase, what does {hebrew_token} mean?	hebrew_token|hebrew_phrase|approved_meaning|context_display	yossi_exact_wording_family_approved	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approved_for_controlled_draft_generation	false	false	false	false	false	false	false	false	No special caution beyond required review gates.	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
preg_b1_008	extmpl_b1_008	tskel_b1_008	ppplan_b1_008	qelig_b1_101	Bereishis 1:20	עוף	וְעוֹף יְעוֹפֵף עַל הָאָרֶץ	vocabulary_meaning	In this phrase, what does {hebrew_token} mean?	hebrew_token|hebrew_phrase|approved_meaning|context_display	yossi_exact_wording_family_approved	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approved_for_controlled_draft_generation	false	false	false	false	false	false	false	false	No special caution beyond required review gates.	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
preg_b1_009	extmpl_b1_009	tskel_b1_009	ppplan_b1_009	qelig_b1_193	Bereishis 1:24	בהמה	בְּהֵמָה וָרֶמֶשׂ וְחַיְתוֹ אֶרֶץ לְמִינָהּ	vocabulary_meaning	In this phrase, what does {hebrew_token} mean?	hebrew_token|hebrew_phrase|approved_meaning|context_display	yossi_exact_wording_family_approved	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approved_for_controlled_draft_generation	false	false	false	false	false	false	false	false	No special caution beyond required review gates.	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	approve_for_controlled_draft_generation	Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
preg_b1_010	extmpl_b1_010	tskel_b1_010	ppplan_b1_010	qelig_b1_200	Bereishis 1:25	האדמה	וְאֵת כָּל רֶמֶשׂ הָאֲדָמָה לְמִינֵהוּ	vocabulary_meaning	In this phrase, what does {hebrew_token} mean?	hebrew_token|hebrew_phrase|approved_meaning|context_display	yossi_exact_wording_family_approved	approve_with_revision	approve_with_revision	approve_with_revision	approve_with_revision	approve_with_revision	approve_with_revision	blocked_pending_revision	false	false	false	false	false	false	false	false	Answer-key review must decide base meaning vs article-inclusive meaning. Answer-key review must decide base meaning vs article-inclusive meaning.	approve_with_revision	approve_with_revision	approve_with_revision	approve_with_revision	approve_with_revision	approve_with_revision	Answer-key review must decide whether the expected meaning for האדמה is base meaning only, article-inclusive meaning, or acceptable variants. This row must not be used for draft generation until the revision is applied.
