audit_id	source_candidate_file	source_candidate_id	source_candidate_type	ref	hebrew_token	hebrew_phrase	canonical_skill_id	canonical_standard_anchor	enrichment_review_status	enrichment_evidence_summary	proposed_question_family	eligibility_recommendation	recommendation_reason	risk_level	risk_reasons	yossi_question_review_decision	yossi_question_review_notes	question_allowed	protected_preview_allowed	reviewed_bank_allowed	runtime_allowed
qelig_b1_001	data/source_skill_enrichment/morphology_candidates/bereishis_1_1_to_1_5_morphology_candidates.tsv	morph_b1_1_r002_t001	morphology	Bereishis 1:1	ברא	ברא אלקים			yossi_enrichment_verified	Sample word-parse record explicitly lists ברא as shoresh ברא, verb, qal, past, 3ms. Sample confidence is low, so this remains a candidate for Yossi enrichment review.	basic_verb_form_recognition	eligible_candidate_for_yossi_question_review	Verified morphology appears clean enough for later review as a basic visible verb-form input candidate.	medium	verified_morphology_but_question_design_needed;requires_teacher_wording_review	needs_follow_up	Deferred. Basic verb-form candidates require a separate morphology-question wording standard before input-candidate approval.	needs_review	false	false	false
qelig_b1_002	data/source_skill_enrichment/morphology_candidates/bereishis_1_1_to_1_5_morphology_candidates.tsv	morph_b1_1_r002_t002	morphology	Bereishis 1:1	אלקים	ברא אלקים			yossi_enrichment_verified	Sample word-parse record lists אלקים as a noun with masculine plural-form/singular-meaning metadata. Sample confidence is low, so this remains a candidate for Yossi enrichment review.	basic_verb_form_recognition	eligible_candidate_for_yossi_question_review	Verified morphology appears clean enough for later review as a basic visible verb-form input candidate.	medium	verified_morphology_but_question_design_needed;requires_teacher_wording_review	needs_follow_up	Deferred. Basic verb-form candidates require a separate morphology-question wording standard before input-candidate approval.	needs_review	false	false	false
qelig_b1_003	data/source_skill_enrichment/morphology_candidates/bereishis_1_1_to_1_5_morphology_candidates.tsv	morph_b1_2_r005_t001	morphology	Bereishis 1:2	היתה	היתה			yossi_enrichment_verified	Sample word-parse record explicitly lists היתה with base היה, shoresh היה, verb, past, 3fs. Sample confidence is low, so this remains a candidate for Yossi enrichment review.	basic_verb_form_recognition	eligible_candidate_for_yossi_question_review	Verified morphology appears clean enough for later review as a basic visible verb-form input candidate.	medium	verified_morphology_but_question_design_needed;requires_teacher_wording_review	needs_follow_up	Deferred. Basic verb-form candidates require a separate morphology-question wording standard before input-candidate approval.	needs_review	false	false	false
qelig_b1_004	data/source_skill_enrichment/morphology_candidates/bereishis_1_1_to_1_5_morphology_candidates.tsv	morph_b1_2_r004_t001	morphology	Bereishis 1:2	והארץ	והארץ			needs_follow_up	Component evidence strengthened: DK-CONJ-001 models prefixed ? as a conjunction before a noun; DK-ARTICLE-001 models prefixed ? as the definite article before a noun; the base ארץ=land vocabulary candidate is already Yossi enrichment-verified. This supports the proposed והארץ component analysis (והארץ -> ? + ? + ארץ) for follow-up review, but it does not by itself verify the exact token split.	not_recommended	needs_follow_up	Candidate remains unresolved in enrichment review and cannot be used for question-planning eligibility.	medium	prefix_preposition_uncertain;thin_evidence;requires_teacher_wording_review	needs_follow_up	Still requires follow-up before any question-input candidate review.	needs_review	false	false	false
qelig_b1_005	data/source_skill_enrichment/morphology_candidates/bereishis_1_1_to_1_5_morphology_candidates.tsv	morph_b1_3_r013_t001	morphology	Bereishis 1:3	יהי	יהי אור			needs_follow_up	Evidence strengthened but remains unresolved: local word_bank entries for יהי/???? record future_jussive-style hints, and Zekelman 3.07 supports verb/future-prefix work using ???? markers. No trusted reviewed source in this pilot directly parses יהי as shoresh היה with jussive/imperfect function, so this remains follow-up evidence rather than verification.	not_recommended	blocked_for_questions	High-risk conceptual/theological wording is not suitable for mechanics questions without separate teacher direction.	high	sensitive_conceptual_context;requires_teacher_wording_review	block_for_questions	Blocked for future question use in this audit layer.	needs_review	false	false	false
qelig_b1_006	data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_1_1_to_1_5_vocabulary_shoresh_candidates.tsv	vocab_b1_1_r002_t001	vocabulary_shoresh	Bereishis 1:1	ברא	ברא אלקים			needs_follow_up	Evidence strengthened but First 150 remains unconfirmed: vocab_entry.bara supports ברא=create/created as a high-frequency Bereishis verb sample, and word_parse.bereishis_1_1.bara supports shoresh ברא=create. Searches did not find an exact repo-local First 150 record for ברא; therefore first_150_match remains false and this stays unresolved for Yossi follow-up.	not_recommended	needs_follow_up	Candidate remains unresolved in enrichment review and cannot be used for question-planning eligibility.	medium	thin_evidence;requires_teacher_wording_review	needs_follow_up	Still requires follow-up before any question-input candidate review.	needs_review	false	false	false
qelig_b1_007	data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_1_1_to_1_5_vocabulary_shoresh_candidates.tsv	vocab_b1_2_r004_t001	vocabulary_shoresh	Bereishis 1:2	והארץ	והארץ			yossi_enrichment_verified	First 150 / vocabulary seed evidence supports ארץ = land; prefixed token handling remains enrichment-review gated. Candidate evidence only.	vocabulary_meaning	eligible_candidate_for_yossi_question_review	Verified clean vocabulary evidence is scoped enough for later Yossi question-eligibility review.	low	clean_token_level_vocabulary;requires_teacher_wording_review	approve_as_input_candidate	Approved as future input candidate only. This is not question approval or protected-preview approval.	needs_review	false	false	false
qelig_b1_008	data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_1_1_to_1_5_vocabulary_shoresh_candidates.tsv	vocab_b1_3_r013_t002	vocabulary_shoresh	Bereishis 1:3	אור	יהי אור			needs_follow_up	Evidence strengthened: vocab_entry.or is an exact First 150 Shorashim and Keywords in Bereishis sample for אור=light. The sample itself has review_status=needs_review/manual_sample_only, so this remains a follow-up candidate and does not become automatically verified.	not_recommended	needs_follow_up	Candidate remains unresolved in enrichment review and cannot be used for question-planning eligibility.	medium	thin_evidence;requires_teacher_wording_review	needs_follow_up	Still requires follow-up before any question-input candidate review.	needs_review	false	false	false
qelig_b1_009	data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_1_1_to_1_5_vocabulary_shoresh_candidates.tsv	vocab_b1_5_r020_t002	vocabulary_shoresh	Bereishis 1:5	יום	לאור יום			yossi_enrichment_verified	First 150 / vocabulary seed evidence supports יום = day; this remains candidate evidence only.	vocabulary_meaning	eligible_candidate_for_yossi_question_review	Verified clean vocabulary evidence is scoped enough for later Yossi question-eligibility review.	low	clean_token_level_vocabulary;requires_teacher_wording_review	approve_as_input_candidate	Approved as future input candidate only. This is not question approval or protected-preview approval.	needs_review	false	false	false
qelig_b1_010	data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_1_1_to_1_5_vocabulary_shoresh_candidates.tsv	vocab_b1_2_r011_t003	vocabulary_shoresh	Bereishis 1:2	המים	על פני המים			yossi_enrichment_verified	First 150 / vocabulary seed evidence supports מים = water; prefixed/article token handling remains enrichment-review gated. Candidate evidence only.	vocabulary_meaning	eligible_candidate_for_yossi_question_review	Verified clean vocabulary evidence is scoped enough for later Yossi question-eligibility review.	low	clean_token_level_vocabulary;requires_teacher_wording_review	approve_as_input_candidate	Approved as future input candidate only. This is not question approval or protected-preview approval.	needs_review	false	false	false
