candidate_id,type,ref,hebrew,current_decision,current_status,current_evidence,improved_evidence,missing_evidence,remaining_question,canonical_skill_ids,canonical_standard_ids,contract_mapping_notes,recommended_decision,yossi_decision,yossi_notes
vocab_b1_1_r002_t001,vocabulary_shoresh,Bereishis 1:1,ברא,fix_vocabulary,needs_follow_up,data/curriculum_extraction/samples/vocab_entries.sample.jsonl:vocab_entry.bara; data/curriculum_extraction/samples/word_parse.sample.jsonl:word_parse.bereishis_1_1.bara,"Evidence strengthened but First 150 remains unconfirmed: vocab_entry.bara supports ברא=create/created as a high-frequency Bereishis verb sample, and word_parse.bereishis_1_1.bara supports shoresh ברא=create. Searches did not find an exact repo-local First 150 record for ברא; therefore first_150_match remains false and this stays unresolved for Yossi follow-up.",Exact First 150 Shorashim and Keywords source record for ???.,"Can ???=create/created stay a review-only shoresh candidate from the linked sample evidence, or does Yossi want a local First 150 source row before any enrichment verification?",ROOT.IDENTIFY,3.02,"The unresolved `shoresh` proposal maps directly through `ROOT.IDENTIFY` in the canonical contract, which carries Standard 3.02 without treating vocabulary sampling as approval.",fix_vocabulary,,
vocab_b1_3_r013_t002,vocabulary_shoresh,Bereishis 1:3,אור,needs_follow_up,needs_follow_up,data/curriculum_extraction/samples/vocab_entries.sample.jsonl:vocab_entry.or,"Evidence strengthened: vocab_entry.or is an exact First 150 Shorashim and Keywords in Bereishis sample for אור=light. The sample itself has review_status=needs_review/manual_sample_only, so this remains a follow-up candidate and does not become automatically verified.",Reviewed or normalized First 150 row; the current support is sample-only and still needs Yossi confirmation.,"Is sample `vocab_entry.or` enough to keep ???=light as a review-only vocabulary candidate, or should it wait for a reviewed First 150 source row?",WORD.MEANING_BASIC,3.01,"The unresolved `noun_keyword` proposal maps through `WORD.MEANING_BASIC`, the contract lane tied to Standard 3.01 noun-vocabulary work.",needs_follow_up,,
vocab_b1_2_r007_t001,vocabulary_shoresh,Bereishis 1:2,וחשך,needs_follow_up,needs_follow_up,source_to_skill_map_row_007; data/curriculum_extraction/normalized/linear_chumash_bereishis_1_1_to_1_5_pasuk_segments.seed.jsonl:pasuk_segment_bereishis_1_2_004,"Evidence clarified, not fully strengthened: verified phrase/source extraction supports וחשך=and darkness in context, but no exact First 150, vocabulary seed, or trusted standalone keyword record for base חשך was located. Prefix/conjunction morphology remains separate from vocabulary evidence.",Standalone trusted vocabulary or shoresh record for ???=darkness.,"Should ??? stay source-only or follow-up until a standalone vocabulary record exists, instead of leaning on contextual phrase evidence alone?",WORD.MEANING_BASIC,3.01,"The lexical target is base ???, so the unresolved noun-keyword proposal anchors through `WORD.MEANING_BASIC`; the prefixed ? remains outside this vocabulary claim.",source_only,,
morph_b1_2_r004_t001,morphology,Bereishis 1:2,והארץ,needs_follow_up,needs_follow_up,data/dikduk_rules/rules_loshon_foundation.jsonl:DK-CONJ-001; data/dikduk_rules/rules_loshon_foundation.jsonl:DK-ARTICLE-001; data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_1_1_to_1_5_vocabulary_shoresh_candidates.tsv:vocab_b1_2_r004_t001,"Component evidence strengthened: DK-CONJ-001 models prefixed ? as a conjunction before a noun; DK-ARTICLE-001 models prefixed ? as the definite article before a noun; the base ארץ=land vocabulary candidate is already Yossi enrichment-verified. This supports the proposed והארץ component analysis (והארץ -> ? + ? + ארץ) for follow-up review, but it does not by itself verify the exact token split.",No reviewed token-level source explicitly parses ????? as ? + ? + ??? in this enrichment layer.,"Can Yossi keep ????? in a review-only prefix/article split lane from the linked component evidence, or should the token stay unresolved until an explicit token parse is cited?",PREFIX.FORM_IDENTIFY; WORD.PARTS.SEGMENT,3.06,The unresolved `prefix/article split needs evidence` note maps through `PREFIX.FORM_IDENTIFY`; `WORD.PARTS.SEGMENT` keeps the token-splitting lane explicit without claiming more than the evidence supports.,fix_morphology,,
morph_b1_3_r013_t001,morphology,Bereishis 1:3,יהי,needs_follow_up,needs_follow_up,data/word_bank.json:???; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07; data/standards/zekelman/crosswalks/zekelman_2025_standard_3_supplemental_crosswalk.json:3.07,"Evidence strengthened but remains unresolved: local word_bank entries for יהי/???? record future_jussive-style hints, and Zekelman 3.07 supports verb/future-prefix work using ???? markers. No trusted reviewed source in this pilot directly parses יהי as shoresh היה with jussive/imperfect function, so this remains follow-up evidence rather than verification.",A reviewed token-level morphology source directly connecting ??? to its shoresh and jussive or imperfect function in Bereishis 1:3.,"Is the linked 3.07 and local-word-bank evidence enough to keep ??? in a review-only verb-form lane, or should it remain unresolved until a direct morphology source is cited?",WORD.PART_OF_SPEECH_BASIC; VERB.TENSE.FUTURE; PREFIX.OTIYOT_EITAN,3.04; 3.07,"The unresolved `verb` and `jussive/verb-form candidate needs evidence` labels map through `WORD.PART_OF_SPEECH_BASIC`, `VERB.TENSE.FUTURE`, and `PREFIX.OTIYOT_EITAN` in the contract, while staying review-only.",needs_follow_up,,
std_b1_1_r002,standards,Bereishis 1:1,ברא אלקים,needs_follow_up,needs_follow_up,data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.02; data/standards/zekelman/crosswalks/zekelman_2025_standard_3_supplemental_crosswalk.json:3.02; data/curriculum_extraction/samples/word_parse.sample.jsonl:word_parse.bereishis_1_1.bara,"Evidence strengthened for a token-level split: Zekelman 3.02 covers cumulative shoresh vocabulary and root identification; word_parse.bereishis_1_1.bara supports token ברא as shoresh ברא. The current candidate is phrase-level (ברא ?????), so it remains needs_follow_up until split to token ברא.",A token-level standards candidate for ??? alone rather than the full phrase ??? ?????.,Should this broad phrase row be split so only ??? anchors to Standard 3.02 and the rest of the phrase stays outside this standards candidate?,ROOT.IDENTIFY,3.02,"The proposed `std3_02_shoresh_identification` reference maps directly through `ROOT.IDENTIFY`; the unresolved issue is phrase scope, not contract identity.",fix_standard,,
std_b1_1_r003,standards,Bereishis 1:1,את השמים ואת הארץ,needs_follow_up,needs_follow_up,data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.03; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.06; docs/standards/zekelman/extracted/2025_zekelman_chumash_standards_v2_5_complete_levels_1_8_raw_text.md:2107-2113,Evidence clarified for token-level split: 3.01 applies to noun vocabulary such as שמים/ארץ; 3.03 covers function-word vocabulary; 3.06 and the raw Standard 3 appendix discuss את as direct-object marker/with and definite nouns/articles. The phrase is too broad for one standards candidate.,"Separate token-level candidates for ??, ?????, ????, and any article or prefix features instead of one bundled phrase row.",Should Yossi split this phrase into direct-object-marker and noun-vocabulary contract lanes instead of treating it as one standards candidate?,PARTICLE.DIRECT_OBJECT_MARKER; WORD.MEANING_BASIC; PREFIX.FORM_IDENTIFY,3.01; 3.03; 3.06,"The current phrase mixes noun vocabulary with direct-object-marker and article-prefix material; those references map through `WORD.MEANING_BASIC`, `PARTICLE.DIRECT_OBJECT_MARKER`, and `PREFIX.FORM_IDENTIFY` in the contract.",fix_standard,,
std_b1_3_r013,standards,Bereishis 1:3,יהי אור,needs_follow_up,needs_follow_up,data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07; data/curriculum_extraction/samples/vocab_entries.sample.jsonl:vocab_entry.or,"Evidence strengthened for a token-level split: 3.01 can apply to noun vocabulary token אור, and vocab_entry.or supports אור=light as a First 150 sample. יהי belongs to a separate morphology/verb-form review lane, likely related to 3.07, so the phrase-level standards row remains unresolved.",A token-level standards candidate for ??? plus a separate disposition for ??? under morphology or verb-form review.,Should Yossi split ??? ??? so ??? anchors to the noun-vocabulary lane while ??? stays in morphology follow-up?,WORD.MEANING_BASIC; VERB.TENSE.FUTURE; PREFIX.OTIYOT_EITAN,3.01; 3.07,"The 3.01 noun-vocabulary reference maps through `WORD.MEANING_BASIC`, while the unresolved ??? verb-form evidence belongs in the 3.07-aligned `VERB.TENSE.FUTURE` and `PREFIX.OTIYOT_EITAN` lanes.",fix_standard,,
std_b1_5_r020,standards,Bereishis 1:5,לאור יום,needs_follow_up,needs_follow_up,data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.06; data/curriculum_extraction/samples/vocab_entries.sample.jsonl:vocab_entry.or; data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_1_1_to_1_5_vocabulary_shoresh_candidates.tsv:vocab_b1_5_r020_t002,Evidence strengthened for a token-level split: אור has First 150 sample support and יום=day is Yossi enrichment-verified vocabulary; 3.01 applies to noun vocabulary while 3.06/prefix evidence may be needed for the ? prefix in ????. The phrase-level standards row remains too bundled.,"Separate token-level candidates for ???, ???, and prefixed ? if Yossi wants standards treatment for all parts of the phrase.",Should ???? ??? be split into noun-vocabulary and prefix lanes instead of staying one phrase-level standards row?,WORD.MEANING_BASIC; PREFIX.BASIC_PREPOSITIONS,3.01; 3.03; 3.06,"The noun-vocabulary references map through `WORD.MEANING_BASIC`, while the prefixed ? aligns to `PREFIX.BASIC_PREPOSITIONS`; the contract keeps those lanes separate.",fix_standard,,
std_b1_2_r010,standards,Bereishis 1:2,מרחפת,needs_follow_up,needs_follow_up,source_to_skill_map_row_010; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07,"Evidence gap remains: the verified source-to-skill row supports מרחפת as source-derived text, and 3.07 is the broad verb standard, but no trusted local token-level parse or standards mapping was located for מרחפת. Keep as needs_mapping_review.",A trusted token-level parse for ????? plus a narrower contract lane within Standard 3.07.,Should ????? remain unresolved inside the broad 3.07 verb lane until a trusted parse clarifies which contract sub-lane actually fits?,VERB.TENSE.PAST; VERB.TENSE.PRESENT; VERB.TENSE.FUTURE; VERB.COMMAND,3.07,"The broad 3.07 reference does map into the contract, but only as a set of unresolved verb-form lanes; this row should not claim a narrower canonical skill until a trusted parse exists.",needs_follow_up,,
