candidate_id,ref,hebrew_phrase,hebrew_token,proposed_values,evidence_source_id,evidence_note,confidence,current_status,what_to_check,recommended_default_decision,yossi_decision,yossi_notes,safety_warning
p2_std_001,Bereishis 2:1,וַיְכֻלּוּ הַשָּׁמַיִם וְהָאָרֶץ,,proposed_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Phrase-Level Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_std_002,Bereishis 2:1,וְכׇל צְבָאָם,,proposed_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Phrase-Level Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_std_003,Bereishis 2:2,וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה,,proposed_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Phrase-Level Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_std_004,Bereishis 2:2,וַיִּשְׁבֹּת בַּיּוֹם הַשְּׁבִיעִי,,proposed_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Phrase-Level Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_std_005,Bereishis 2:2,מִכָּל מְלַאכְתּוֹ אֲשֶׁר עָשָׂה,,proposed_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Phrase-Level Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_std_006,Bereishis 2:3,וַיְבָרֶךְ אֱלֹהִים אֶת יוֹם הַשְּׁבִיעִי וַיְקַדֵּשׁ אֹתוֹ,,proposed_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Phrase-Level Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_std_007,Bereishis 2:3,כִּי בוֹ שָׁבַת,,proposed_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Phrase-Level Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_std_008,Bereishis 2:3,מִכָּל מְלַאכְתּוֹ,,proposed_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Phrase-Level Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_std_009,Bereishis 2:3,אֲשֶׁר בָּרָא אֱלֹהִים לַעֲשׂוֹת,,proposed_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Phrase-Level Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_std_010,Bereishis 2:4,אֵלֶּה,,proposed_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Phrase-Level Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_std_011,Bereishis 2:4,תוֹלְדוֹת,,proposed_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Phrase-Level Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_std_012,Bereishis 2:4,הַשָּׁמַיִם וְהָאָרֶץ,,proposed_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Phrase-Level Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_std_013,Bereishis 2:4,בְּהִבָּרְאָם,,proposed_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Phrase-Level Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_std_014,Bereishis 2:4,בְּיוֹם עֲשׂוֹת יְהוָה אֱלֹהִים,,proposed_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Phrase-Level Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_std_015,Bereishis 2:4,אֶרֶץ וְשָׁמָיִם,,proposed_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Phrase-Level Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_std_016,Bereishis 2:5,וְכֹל שִׂיחַ הַשָּׂדֶה,,proposed_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Phrase-Level Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_std_017,Bereishis 2:5,טֶרֶם יִהְיֶה בָאָרֶץ,,proposed_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Phrase-Level Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_std_018,Bereishis 2:5,וְכׇל עֵשֶׂב הַשָּׂדֶה טֶרֶם יִצְמָח,,proposed_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Phrase-Level Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_std_019,Bereishis 2:5,כִּי לֹא הִמְטִיר יְהוָה אֱלֹהִים עַל הָאָרֶץ,,proposed_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Phrase-Level Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_std_020,Bereishis 2:5,וְאָדָם אַיִן לַעֲבֹד אֶת הָאֲדָמָה,,proposed_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Phrase-Level Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_std_021,Bereishis 2:6,וְאֵד יַעֲלֶה מִן הָאָרֶץ,,proposed_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Phrase-Level Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_std_022,Bereishis 2:6,וְהִשְׁקָה אֶת כׇּל פְּנֵי הָאֲדָמָה,,proposed_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Phrase-Level Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_std_023,Bereishis 2:7,וַיִּיצֶר יְהוָה אֱלֹהִים אֶת הָאָדָם,,proposed_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Phrase-Level Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
