candidate_id	source_map_file	source_row_id	ref	hebrew_phrase	skill_primary	skill_secondary	proposed_skill_id	proposed_zekelman_standard	proposed_standard_level	evidence_source_id	evidence_source_type	evidence_note	confidence	enrichment_review_status	yossi_decision	yossi_notes	question_allowed	protected_preview_allowed	runtime_allowed	reviewed_bank_allowed
p2_std_001	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_001	Bereishis 2:1	וַיְכֻלּוּ הַשָּׁמַיִם וְהָאָרֶץ	phrase_translation	translation_context	phrase_translation			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_std_002	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_002	Bereishis 2:1	וְכׇל צְבָאָם	phrase_translation	translation_context	phrase_translation			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_std_003	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_003	Bereishis 2:2	וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה	phrase_translation	translation_context	phrase_translation			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_std_004	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_004	Bereishis 2:2	וַיִּשְׁבֹּת בַּיּוֹם הַשְּׁבִיעִי	phrase_translation	translation_context	phrase_translation			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_std_005	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_005	Bereishis 2:2	מִכָּל מְלַאכְתּוֹ אֲשֶׁר עָשָׂה	phrase_translation	translation_context	phrase_translation			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_std_006	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_006	Bereishis 2:3	וַיְבָרֶךְ אֱלֹהִים אֶת יוֹם הַשְּׁבִיעִי וַיְקַדֵּשׁ אֹתוֹ	phrase_translation	translation_context	phrase_translation			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_std_007	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_007	Bereishis 2:3	כִּי בוֹ שָׁבַת	phrase_translation	translation_context	phrase_translation			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_std_008	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_008	Bereishis 2:3	מִכָּל מְלַאכְתּוֹ	phrase_translation	translation_context	phrase_translation			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_std_009	data/verified_source_skill_maps/bereishis_2_1_to_2_3_source_to_skill_map.tsv	row_009	Bereishis 2:3	אֲשֶׁר בָּרָא אֱלֹהִים לַעֲשׂוֹת	phrase_translation	translation_context	phrase_translation			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_std_010	data/verified_source_skill_maps/bereishis_2_4_to_2_17_source_to_skill_map.tsv	row_001	Bereishis 2:4	אֵלֶּה	phrase_translation	translation_context	phrase_translation			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_std_011	data/verified_source_skill_maps/bereishis_2_4_to_2_17_source_to_skill_map.tsv	row_002	Bereishis 2:4	תוֹלְדוֹת	phrase_translation	translation_context	phrase_translation			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_std_012	data/verified_source_skill_maps/bereishis_2_4_to_2_17_source_to_skill_map.tsv	row_003	Bereishis 2:4	הַשָּׁמַיִם וְהָאָרֶץ	phrase_translation	translation_context	phrase_translation			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_std_013	data/verified_source_skill_maps/bereishis_2_4_to_2_17_source_to_skill_map.tsv	row_004	Bereishis 2:4	בְּהִבָּרְאָם	phrase_translation	translation_context	phrase_translation			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_std_014	data/verified_source_skill_maps/bereishis_2_4_to_2_17_source_to_skill_map.tsv	row_005	Bereishis 2:4	בְּיוֹם עֲשׂוֹת יְהוָה אֱלֹהִים	phrase_translation	translation_context	phrase_translation			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_std_015	data/verified_source_skill_maps/bereishis_2_4_to_2_17_source_to_skill_map.tsv	row_006	Bereishis 2:4	אֶרֶץ וְשָׁמָיִם	phrase_translation	translation_context	phrase_translation			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_std_016	data/verified_source_skill_maps/bereishis_2_4_to_2_17_source_to_skill_map.tsv	row_007	Bereishis 2:5	וְכֹל שִׂיחַ הַשָּׂדֶה	phrase_translation	translation_context	phrase_translation			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_std_017	data/verified_source_skill_maps/bereishis_2_4_to_2_17_source_to_skill_map.tsv	row_008	Bereishis 2:5	טֶרֶם יִהְיֶה בָאָרֶץ	phrase_translation	translation_context	phrase_translation			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.	low	pending_yossi_enrichment_review			needs_review	false	false	false
p2_std_018	data/verified_source_skill_maps/bereishis_2_4_to_2_17_source_to_skill_map.tsv	row_009	Bereishis 2:5	וְכׇל עֵשֶׂב הַשָּׂדֶה טֶרֶם יִצְמָח	phrase_translation	translation_context	phrase_translation			sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah	verified_source_to_skill_map	Perek 2 Gate 1 phrase-level standards candidate copied from verified source-to-skill row for Yossi enrichment review only.	low	pending_yossi_enrichment_review			needs_review	false	false	false
