audit_id,ref,hebrew_token,hebrew_phrase,source_candidate_type,canonical_skill_id,proposed_question_family,eligibility_recommendation,recommendation_reason,risk_level,risk_reasons,yossi_question_review_decision,yossi_question_review_notes
qelig_b1_001,Bereishis 1:1,ברא,ברא אלקים,morphology,,basic_verb_form_recognition,eligible_candidate_for_yossi_question_review,Verified morphology appears clean enough for later review as a basic visible verb-form input candidate.,medium,verified_morphology_but_question_design_needed;requires_teacher_wording_review,,
qelig_b1_002,Bereishis 1:1,אלקים,ברא אלקים,morphology,,basic_verb_form_recognition,eligible_candidate_for_yossi_question_review,Verified morphology appears clean enough for later review as a basic visible verb-form input candidate.,medium,verified_morphology_but_question_design_needed;requires_teacher_wording_review,,
qelig_b1_003,Bereishis 1:2,היתה,היתה,morphology,,basic_verb_form_recognition,eligible_candidate_for_yossi_question_review,Verified morphology appears clean enough for later review as a basic visible verb-form input candidate.,medium,verified_morphology_but_question_design_needed;requires_teacher_wording_review,,
qelig_b1_007,Bereishis 1:2,והארץ,והארץ,vocabulary_shoresh,,vocabulary_meaning,eligible_candidate_for_yossi_question_review,Verified clean vocabulary evidence is scoped enough for later Yossi question-eligibility review.,low,clean_token_level_vocabulary;requires_teacher_wording_review,,
qelig_b1_009,Bereishis 1:5,יום,לאור יום,vocabulary_shoresh,,vocabulary_meaning,eligible_candidate_for_yossi_question_review,Verified clean vocabulary evidence is scoped enough for later Yossi question-eligibility review.,low,clean_token_level_vocabulary;requires_teacher_wording_review,,
qelig_b1_010,Bereishis 1:2,המים,על פני המים,vocabulary_shoresh,,vocabulary_meaning,eligible_candidate_for_yossi_question_review,Verified clean vocabulary evidence is scoped enough for later Yossi question-eligibility review.,low,clean_token_level_vocabulary;requires_teacher_wording_review,,
qelig_b1_018,Bereishis 1:1,ברא,ברא אלקים,token_split_standards,ROOT.IDENTIFY,shoresh_identification,eligible_candidate_for_yossi_question_review,Verified token-level 3.02 root standards mapping is clean enough for later Yossi question-eligibility review.,low,clean_token_level_shoresh;requires_teacher_wording_review,,
qelig_b1_019,Bereishis 1:1,את,את השמים ואת הארץ,token_split_standards,PARTICLE.DIRECT_OBJECT_MARKER,direct_object_marker_recognition,eligible_candidate_for_yossi_question_review,Verified token-level direct-object marker mapping can be reviewed later as a function-word input candidate.,medium,clean_direct_marker;requires_teacher_wording_review,,
qelig_b1_021,Bereishis 1:1,את,את השמים ואת הארץ,token_split_standards,PARTICLE.DIRECT_OBJECT_MARKER,direct_object_marker_recognition,eligible_candidate_for_yossi_question_review,Verified token-level direct-object marker mapping can be reviewed later as a function-word input candidate.,medium,clean_direct_marker;requires_teacher_wording_review,,
qelig_b1_022,Bereishis 1:1,ארץ,את השמים ואת הארץ,token_split_standards,WORD.MEANING_BASIC,basic_noun_recognition,eligible_candidate_for_yossi_question_review,Verified token-level 3.01 vocabulary standards mapping is clean enough for later Yossi question-eligibility review.,low,clean_token_level_vocabulary;requires_teacher_wording_review,,
